"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,3.441942632E-1,2.663192034E0,3.590850830E-1
1.000000000E-2,3.438896537E-1,2.660619020E0,3.583545685E-1
2.000466600E-2,3.411641121E-1,2.672357082E0,3.600034714E-1
3.000466600E-2,3.360875249E-1,2.657796860E0,3.568773270E-1
4.000466600E-2,3.309544921E-1,2.664761305E0,3.657131195E-1
5.000466600E-2,3.330577314E-1,2.664645910E0,3.602161407E-1
6.000466600E-2,3.447862267E-1,2.662082434E0,3.570995331E-1
7.000466600E-2,3.229344785E-1,2.671611786E0,3.516225815E-1
8.000466600E-2,3.321800530E-1,2.640252352E0,3.556709290E-1
9.000466600E-2,3.318356276E-1,2.663975954E0,3.669052124E-1
1.000046660E-1,3.387009203E-1,2.639878750E0,3.590049744E-1
1.100046660E-1,3.215842843E-1,2.637212992E0,3.582534790E-1
1.200046660E-1,3.547961116E-1,2.639506340E0,3.527660370E-1
1.300046660E-1,3.376135826E-1,2.622598410E0,3.568372726E-1
1.400046660E-1,3.324789107E-1,2.629697323E0,3.441705704E-1
1.500046660E-1,3.296960592E-1,2.622431040E0,3.626270294E-1
1.600046660E-1,3.151037097E-1,2.631860018E0,3.571319580E-1
1.700046660E-1,3.387633264E-1,2.619705439E0,3.564138412E-1
1.800046660E-1,3.288356364E-1,2.624301672E0,3.485078812E-1
1.900046660E-1,3.308849931E-1,2.607347250E0,3.453922272E-1
2.000046660E-1,2.917200327E-1,2.366124868E0,2.971000671E-1
2.100046660E-1,2.698912323E-1,2.124776363E0,2.375507355E-1
2.200046660E-1,2.411839664E-1,1.927028537E0,1.835765839E-1
2.300046660E-1,2.127125561E-1,1.732632160E0,1.499929428E-1
2.400046660E-1,1.984625161E-1,1.566008210E0,1.280088425E-1
2.500046660E-1,1.742542982E-1,1.420746326E0,9.240722656E-2
2.600046660E-1,1.399477273E-1,1.261620998E0,7.564449310E-2
2.700047370E-1,1.365941763E-1,1.137893200E0,5.538654327E-2
2.800047370E-1,1.418747902E-1,1.019514322E0,6.443786621E-2
2.900047370E-1,1.076857448E-1,9.244548678E-1,3.758716583E-2
3.000047370E-1,1.082304493E-1,8.178738952E-1,2.703094482E-2
3.100047370E-1,9.300550818E-2,7.615063190E-1,3.243541718E-2
