"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.531987403E-2,-1.745041555E-2,-2.245612939E-1,2.257586992E-1
9.994000022E-3,7.063013499E-2,-2.162170248E-1,-1.050800567E-1,2.505598453E-1
1.999200002E-2,6.353683200E-2,-2.149705994E-1,-1.049939016E-1,2.475338502E-1
2.999900002E-2,2.136488660E-3,-4.970790203E-2,-1.773135439E-1,1.841617033E-1
3.998599999E-2,-4.532247384E-1,9.572318002E-3,-4.558853677E-1,6.429119390E-1
4.998399998E-2,-4.503802873E-1,1.545749145E-2,-4.561660706E-1,6.412244702E-1
5.999799998E-2,-3.666513386E-1,1.699312514E-1,-6.135745047E-1,7.346996033E-1
6.998400000E-2,-7.652771435E-2,-1.417754828E-1,-3.138036553E-1,3.527456770E-1
7.998200000E-2,-5.468051126E-2,-1.312504855E-1,-3.144405998E-1,3.450935222E-1
8.999700000E-2,-2.645641244E-2,-2.492517741E-2,-1.912625519E-1,1.946858238E-1
9.998300002E-2,3.569409406E-1,-1.003318709E-1,2.602122428E-1,4.529721081E-1
1.099810000E-1,3.712482733E-1,-9.165816600E-2,2.598472121E-1,4.623278852E-1
1.199960000E-1,2.430783112E-1,3.137131011E-2,2.791820539E-1,3.715021449E-1
1.299820000E-1,-2.697187922E-1,2.413351283E-1,-2.238442516E-2,3.626181649E-1
1.399800000E-1,-2.823221732E-1,2.457573227E-1,-2.243461072E-2,3.749743763E-1
1.499940000E-1,-4.749972114E-1,3.225144717E-1,-2.283454657E-1,6.178831499E-1
1.599810000E-1,-3.238374408E-1,3.563341824E-1,-1.410130629E-2,4.817090247E-1
1.699790000E-1,-3.435477104E-1,3.650922516E-1,-1.412236769E-2,5.015145290E-1
1.799930000E-1,-4.267689016E-1,3.279143023E-1,1.188091180E-2,5.383313488E-1
1.899730000E-1,-6.533171524E-1,3.486604062E-1,-2.041635379E-1,7.681602246E-1
1.999710000E-1,-7.464855903E-1,3.615837029E-1,-5.940634424E-1,1.020242562E0
