"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-3.280156553E-1,1.556278586E0,9.450202942E0
1.000588100E-2,-4.525179267E-1,1.539518714E0,9.471751213E0
2.001101500E-2,-4.189980924E-1,1.446141958E0,9.507665634E0
3.001321500E-2,-2.250618339E-1,1.446141958E0,9.569916725E0
4.001585200E-2,-5.027977005E-2,1.486844659E0,9.589070320E0
5.001793700E-2,4.788549617E-3,1.474873304E0,9.696812630E0
6.201716700E-2,-7.182824612E-2,1.383890867E0,9.794978142E0
7.401689900E-2,-1.795706153E-1,1.309668303E0,9.893143654E0
8.601633100E-2,-3.375927508E-1,1.321639657E0,9.938634872E0
9.801552800E-2,-4.189980924E-1,1.386285067E0,9.955394745E0
1.100143930E-1,-4.046324492E-1,1.443747759E0,9.895537376E0
1.220132920E-1,-3.687183261E-1,1.467690468E0,9.873989105E0
1.340106250E-1,-3.519583941E-1,1.494027495E0,9.816526413E0
1.460090900E-1,-3.399870098E-1,1.477267504E0,9.845257759E0
1.580076210E-1,-2.873129845E-1,1.436564922E0,9.857229233E0
1.700062860E-1,-1.963305324E-1,1.436564922E0,9.912297249E0
1.820048500E-1,-1.699935049E-1,1.448536277E0,9.900326729E0
1.940044800E-1,-1.580221355E-1,1.479661822E0,9.809344292E0
2.060028800E-1,-2.394274771E-1,1.462901950E0,9.732727051E0
2.180018110E-1,-2.873129845E-1,1.438959122E0,9.672870636E0
2.300010770E-1,-3.735068738E-1,1.467690468E0,9.636956215E0
2.420005090E-1,-4.046324492E-1,1.520364523E0,9.624984741E0
2.539988060E-1,-4.644893110E-1,1.546701550E0,9.641744614E0
2.659985370E-1,-4.716721475E-1,1.582615614E0,9.615407944E0
2.779974360E-1,-4.620950520E-1,1.587404251E0,9.605830193E0
2.899961020E-1,-4.070267081E-1,1.623318315E0,9.591464996E0
3.019945670E-1,-3.256213665E-1,1.611346960E0,9.605830193E0
3.139929980E-1,-2.609759569E-1,1.623318315E0,9.687235832E0
3.259911970E-1,-2.561874092E-1,1.577827096E0,9.763853073E0
3.379897290E-1,-2.609759569E-1,1.534730196E0,9.833286285E0
