"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.415707760E-1,-7.922922377E-4,-1.631010236E-4,-6.860016729E-4
2.535669370E-1,3.483764362E-3,-2.606561873E-3,5.357288173E-4
2.655650540E-1,-1.814269781E-4,-1.384831499E-3,-7.513642049E-5
2.775629170E-1,1.651168684E-3,1.669494784E-3,1.146594062E-3
2.895608940E-1,4.294382525E-4,-7.739662542E-4,-7.513642049E-5
3.015593920E-1,1.040303498E-3,-1.631010236E-4,-7.513642049E-5
3.135578570E-1,1.040303498E-3,2.280360088E-3,5.357288173E-4
3.255573540E-1,-7.922922377E-4,-1.995696686E-3,-7.513642049E-5
3.375553190E-1,-1.814269781E-4,-2.606561873E-3,5.357288173E-4
3.495539510E-1,-1.403157483E-3,2.280360088E-3,-1.907732105E-3
3.615524160E-1,-1.814269781E-4,-1.631010236E-4,-1.296866918E-3
3.735513470E-1,-1.814269781E-4,-2.606561873E-3,1.757459249E-3
3.855486450E-1,1.040303498E-3,-7.739662542E-4,-1.296866918E-3
3.975471100E-1,2.262033988E-3,-7.739662542E-4,1.146594062E-3
4.095458410E-1,1.040303498E-3,1.669494784E-3,-6.860016729E-4
4.215446720E-1,-7.922922377E-4,-1.631010236E-4,-6.860016729E-4
4.335426040E-1,2.262033988E-3,-1.631010236E-4,-6.860016729E-4
4.455404360E-1,1.040303498E-3,-1.631010236E-4,-2.518597292E-3
4.575389680E-1,-1.814269781E-4,2.280360088E-3,-7.513642049E-5
4.695370000E-1,-7.922922377E-4,1.058629481E-3,1.146594062E-3
4.815362310E-1,1.040303498E-3,-1.384831499E-3,-7.513642049E-5
4.935346960E-1,-1.814269781E-4,-7.739662542E-4,5.357288173E-4
5.055336610E-1,-1.814269781E-4,-7.739662542E-4,5.357288173E-4
5.175321260E-1,1.040303498E-3,-2.606561873E-3,-6.860016729E-4
5.295311230E-1,-1.403157483E-3,2.280360088E-3,-6.860016729E-4
5.415284220E-1,-1.403157483E-3,-7.739662542E-4,-7.513642049E-5
5.535270200E-1,1.040303498E-3,4.477642069E-4,5.357288173E-4
5.635272170E-1,4.294382525E-4,4.477642069E-4,-6.860016729E-4
5.755248470E-1,2.262033988E-3,4.477642069E-4,5.357288173E-4
5.875233440E-1,-1.814269781E-4,4.477642069E-4,-6.860016729E-4
5.995225410E-1,1.040303498E-3,4.477642069E-4,-7.513642049E-5
6.115216050E-1,4.294382525E-4,-1.631010236E-4,5.357288173E-4
6.235191360E-1,4.294382525E-4,4.477642069E-4,-1.296866918E-3
6.355182010E-1,1.040303498E-3,-1.384831499E-3,-6.860016729E-4
6.475166660E-1,-1.403157483E-3,1.058629481E-3,-7.513642049E-5
6.595141310E-1,-1.403157483E-3,1.058629481E-3,1.146594062E-3
6.715125290E-1,-1.814269781E-4,-1.384831499E-3,2.368324436E-3
6.835109940E-1,-7.922922377E-4,2.891225042E-3,-1.296866918E-3
6.955098920E-1,-2.624887973E-3,-7.739662542E-4,-7.513642049E-5
7.075084240E-1,-1.814269781E-4,2.891225042E-3,1.146594062E-3
7.195074230E-1,4.294382525E-4,-1.384831499E-3,5.357288173E-4
7.315058210E-1,-1.403157483E-3,1.058629481E-3,2.368324436E-3
7.435040860E-1,-2.014022786E-3,-1.631010236E-4,-1.296866918E-3
7.555020510E-1,-1.403157483E-3,-1.631010236E-4,-6.860016729E-4
7.675005160E-1,-7.922922377E-4,-7.739662542E-4,-6.860016729E-4
7.794993140E-1,2.872899408E-3,-1.631010236E-4,-7.513642049E-5
7.914978460E-1,1.040303498E-3,1.669494784E-3,-1.296866918E-3
8.034963110E-1,-2.014022786E-3,-2.606561873E-3,-7.513642049E-5
8.154952750E-1,4.294382525E-4,-2.606561873E-3,-6.860016729E-4
8.274936730E-1,-1.403157483E-3,-1.631010236E-4,5.357288173E-4
8.394914710E-1,-1.403157483E-3,1.058629481E-3,2.368324436E-3
8.514899360E-1,-2.624887973E-3,-7.739662542E-4,1.146594062E-3
8.634884670E-1,1.651168684E-3,-1.384831499E-3,-1.296866918E-3
8.754859990E-1,1.040303498E-3,4.477642069E-4,-1.296866918E-3
8.874844640E-1,-1.403157483E-3,2.280360088E-3,1.146594062E-3
8.994831290E-1,4.294382525E-4,-1.995696686E-3,-6.860016729E-4
9.114815940E-1,4.294382525E-4,2.891225042E-3,-1.907732105E-3
9.234805920E-1,4.294382525E-4,2.280360088E-3,-7.513642049E-5
9.354789900E-1,-2.624887973E-3,-7.739662542E-4,5.357288173E-4
9.474765890E-1,1.040303498E-3,1.058629481E-3,-7.513642049E-5
9.594751870E-1,-1.814269781E-4,-1.995696686E-3,-6.860016729E-4
9.714737510E-1,4.294382525E-4,-1.631010236E-4,-7.513642049E-5
9.834716140E-1,-1.814269781E-4,-1.384831499E-3,5.357288173E-4
