"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,3.933623135E-1,-9.779255092E-2,7.857036591E-2
1.999858300E-2,4.030537903E-1,-8.104869723E-2,4.505538940E-2
3.999748300E-2,3.906283975E-1,-8.554622531E-2,6.179332733E-2
5.999614300E-2,4.067418277E-1,-9.247314930E-2,4.739761353E-2
7.999466500E-2,3.896871209E-1,-8.274947107E-2,4.498958588E-2
9.999292900E-2,3.817040920E-1,-8.283177018E-2,5.693054199E-2
1.199911530E-1,3.882515132E-1,-1.064189300E-1,4.971790314E-2
1.399892150E-1,3.923621774E-1,-7.498744875E-2,4.968643188E-2
1.599873840E-1,3.893218637E-1,-8.909620345E-2,4.965686798E-2
1.799857410E-1,3.931623995E-1,-9.854178131E-2,4.722309113E-2
1.999841600E-1,3.322201967E-1,-7.255712152E-2,4.925346375E-2
2.199824560E-1,2.588878274E-1,-4.938236997E-2,4.975509644E-2
2.399806520E-1,2.080765069E-1,-4.311937094E-2,4.369258881E-2
2.599788340E-1,1.804073155E-1,-4.106289893E-2,3.804588318E-2
2.799769340E-1,1.455330551E-1,-4.051162675E-2,4.465007782E-2
2.999749330E-1,1.164027676E-1,-1.273751631E-2,4.426097870E-2
3.199738330E-1,8.321610093E-2,-1.755025983E-2,4.161453247E-2
3.399716990E-1,5.456397682E-2,-1.620463282E-2,1.750564575E-2
3.599694990E-1,6.330756843E-2,-5.748085678E-3,4.134082794E-2
3.799672320E-1,5.281906202E-2,3.974750638E-3,4.126548767E-2
3.999650320E-1,5.828389525E-2,-6.369754672E-3,3.403091431E-2
4.199627650E-1,2.378368750E-2,-1.234189421E-2,3.399181366E-2
4.399605650E-1,3.859399259E-2,-1.063437015E-2,3.396224976E-2
4.599582310E-1,1.840908639E-2,-1.618666947E-2,3.633403778E-2
4.799557640E-1,1.466775499E-2,1.185735688E-2,4.349994659E-2
4.999531630E-1,1.609047502E-2,5.257777870E-3,3.631019592E-2
5.199505620E-1,2.799160779E-2,7.880069315E-3,3.630542755E-2
5.399480280E-1,2.332048491E-2,-6.084185094E-3,4.348278046E-2
5.599455270E-1,9.171544574E-3,-4.999142140E-3,2.911090851E-2
5.799430590E-1,2.441029809E-2,-6.783608347E-3,3.868389130E-2
5.999405910E-1,1.095833629E-2,7.832463831E-3,4.347038269E-2
6.199371900E-1,-2.430738881E-3,3.333836794E-4,3.389358521E-2
6.399342220E-1,1.360157132E-2,1.260340214E-4,4.826068878E-2
6.599316880E-1,6.495668553E-3,2.314958721E-3,2.910709381E-2
6.799292200E-1,1.929697581E-3,1.666112244E-2,3.868389130E-2
6.999267520E-1,1.583871432E-3,1.902868226E-2,3.868389130E-2
7.199242840E-1,8.850902319E-3,-1.501291990E-4,4.586696625E-2
7.399217500E-1,8.824242279E-3,-2.573173493E-3,3.389549255E-2
7.599196490E-1,4.122518934E-3,-5.075268447E-3,2.910804749E-2
7.799171150E-1,4.088315181E-3,-1.007326692E-2,4.107952118E-2
7.999146140E-1,6.517414469E-3,6.493620574E-3,3.389739990E-2
8.199121460E-1,-1.040548831E-2,-7.784776390E-4,3.868675232E-2
8.399097780E-1,-8.276719600E-3,-1.508456282E-2,2.432060242E-2
8.599072110E-1,6.239757873E-3,-5.460213870E-3,4.586887360E-2
8.799046100E-1,-9.186265524E-4,-5.875267088E-4,2.910900116E-2
8.999020760E-1,-1.396005042E-3,1.669596136E-2,3.150081635E-2
9.198994750E-1,5.583046004E-3,-1.453428157E-2,1.953029633E-2
9.398973740E-1,1.695171930E-2,-1.677050442E-2,2.431678772E-2
9.598948730E-1,9.439467452E-3,-1.132798567E-2,1.952648163E-2
9.798924050E-1,-1.002849545E-2,5.295392126E-3,4.346942902E-2
9.998898710E-1,-2.946493914E-3,2.454300225E-2,2.431583405E-2
1.019887337E0,2.339973487E-2,1.913027838E-2,4.107761383E-2
1.039884869E0,6.311049685E-3,-5.657341331E-3,3.389739990E-2
1.059882035E0,-5.805194378E-3,-7.076263428E-4,2.671432495E-2
1.079879567E0,1.587674022E-2,-7.372036576E-3,2.431774139E-2
1.099877066E0,-3.743167501E-3,-1.433616690E-2,4.825973511E-2
1.119874598E0,5.678572226E-3,8.425191045E-4,2.910232544E-2
1.139871964E0,5.029537133E-4,-1.281582005E-2,2.191638947E-2
1.159869430E0,-4.580102395E-3,-2.777792513E-3,1.952075958E-2
1.179866962E0,-4.495661706E-3,6.774663925E-3,2.191448212E-2
1.199864494E0,1.670869999E-2,9.086795151E-3,2.191448212E-2
1.219862094E0,1.428261492E-2,4.033379257E-3,3.867626190E-2
1.239859760E0,2.306170762E-3,8.585806936E-3,3.149509430E-2
1.259857526E0,1.786723733E-3,8.372239769E-3,2.910137177E-2
1.279855192E0,3.948038910E-3,-1.602325588E-2,3.389072418E-2
1.299852924E0,8.813838474E-3,2.925638109E-3,2.910327911E-2
1.319850656E0,-6.140379701E-4,-1.133735850E-2,2.431488037E-2
1.339848388E0,1.760879066E-3,3.180216998E-3,2.910232544E-2
1.359846054E0,7.177715655E-3,1.303047314E-2,3.149604797E-2
1.379843720E0,1.202374045E-2,-2.137999982E-3,3.868198395E-2
1.399841452E0,2.892926750E-5,-5.018867552E-3,3.150081635E-2
1.419839118E0,-1.972316240E-4,-1.209906489E-2,3.868293762E-2
1.439836850E0,-5.133107188E-4,-2.088248730E-4,3.628921509E-2
1.459834582E0,-1.245725807E-2,-1.694001257E-2,3.389453888E-2
1.479832314E0,-4.503562115E-3,9.939141572E-3,2.431583405E-2
1.499829980E0,-8.842800744E-3,5.375467241E-3,2.670860291E-2
1.519827579E0,6.388484500E-3,7.260628045E-3,3.628826141E-2
1.539825112E0,-7.571831811E-3,9.198091924E-3,4.586696625E-2
1.559822578E0,-1.202333905E-2,8.724868298E-3,3.868579865E-2
1.579820044E0,5.125480704E-3,-6.028812379E-3,4.108238220E-2
1.599817510E0,4.668310285E-3,-1.271106303E-3,3.150558472E-2
1.619815042E0,-2.647819230E-3,-8.597690612E-3,3.629493713E-2
1.639812508E0,1.316727139E-4,-1.317273825E-3,2.911090851E-2
1.659809974E0,9.419557638E-3,1.060172170E-2,4.108333588E-2
1.679807506E0,-1.351935789E-4,-8.412860334E-3,2.911090851E-2
1.699805038E0,-1.597674564E-4,-1.314219087E-3,2.671623230E-2
1.719802570E0,9.328029118E-3,-3.545243293E-3,3.868675232E-2
1.739800036E0,-5.139112473E-4,-1.119192690E-3,2.192687988E-2
1.759797568E0,-2.879270352E-3,1.248393208E-3,1.713943481E-2
1.779795801E0,-1.266337745E-2,-3.561701626E-3,1.953315735E-2
1.799793333E0,6.572746672E-3,-5.925200880E-3,2.192687988E-2
1.819790865E0,1.850125380E-2,3.691956401E-3,3.150463104E-2
1.839788397E0,-6.294094026E-3,1.344555989E-2,2.671432495E-2
1.859785863E0,-1.595819369E-2,-7.995136082E-3,2.910900116E-2
1.879783329E0,3.480923828E-3,1.299493015E-2,2.671623230E-2
1.899780795E0,5.964443088E-3,-2.283386886E-3,3.869152069E-2
1.919778194E0,1.213775715E-3,9.786576033E-3,2.672004700E-2
1.939775660E0,5.923636258E-3,1.169217750E-2,3.390502930E-2
1.959773126E0,-1.319998410E-2,-2.755600959E-3,2.432823181E-2
1.979770592E0,2.015705034E-2,6.732158363E-3,2.911758423E-2
1.999768058E0,-4.184831865E-3,1.484684646E-3,2.911949158E-2
2.019765524E0,-2.183738910E-2,-6.314251572E-3,3.630542755E-2
2.039763056E0,-9.787661955E-3,1.335632429E-2,3.151416779E-2
2.059760588E0,9.170541540E-3,-1.809571497E-2,1.954364777E-2
2.079757354E0,2.177579328E-3,-3.237295896E-3,3.630256653E-2
2.099754920E0,-9.941582568E-3,-1.458963007E-2,3.869247437E-2
2.119752452E0,2.287352923E-3,2.332516015E-3,3.629875183E-2
2.139750584E0,-1.222463883E-2,-5.008418113E-3,2.432727814E-2
2.159748050E0,-6.651797798E-3,-1.200939342E-2,4.108715057E-2
2.179745582E0,-2.026700415E-2,-2.085164189E-3,2.193069458E-2
2.199742981E0,1.683177426E-2,1.491315663E-2,2.671813965E-2
2.219740513E0,5.139037967E-3,2.924416214E-3,3.150749207E-2
2.239737979E0,-2.312940778E-3,-1.092390716E-2,3.629398346E-2
2.259735545E0,1.195896976E-2,-1.447439194E-3,3.868865967E-2
2.279733278E0,1.133255195E-2,1.094472408E-2,2.192687988E-2
