"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.599152140E-1,2.133568935E-2,1.246714871E-2,3.205209970E-3
2.719113750E-1,1.339444239E-2,7.580226753E-3,3.191587701E-2
2.839098050E-1,-1.266323728E-3,5.136766005E-3,5.696135387E-2
2.959069860E-1,-2.142487653E-2,5.747631192E-3,6.673520058E-2
3.079054630E-1,-3.913996741E-2,1.246714871E-2,6.795692444E-2
3.199036950E-1,-5.502246320E-2,1.735407114E-2,5.940481275E-2
3.319021600E-1,-5.807679147E-2,1.552147511E-2,5.329615995E-2
3.439006250E-1,-4.647035152E-2,5.747631192E-3,5.085270107E-2
3.558987230E-1,-2.020314522E-2,6.358496379E-3,5.024183169E-2
3.678971880E-1,3.620598232E-3,3.304170212E-3,5.207442865E-2
3.798965530E-1,1.950309612E-2,-5.247943569E-3,6.001567841E-2
3.918949840E-1,1.400530711E-2,6.358496379E-3,7.345471531E-2
4.038934490E-1,7.896655239E-3,1.735407114E-2,7.773076743E-2
4.158923810E-1,3.009733045E-3,1.857580245E-2,6.612432748E-2
4.278904130E-1,6.674924400E-3,1.918666624E-2,3.924625739E-2
4.398888110E-1,1.278357673E-2,2.101926319E-2,9.924727492E-3
4.518872430E-1,2.011395991E-2,2.163012698E-2,-9.622960351E-3
4.638857080E-1,2.377915196E-2,1.857580245E-2,-1.206642110E-2
4.758841390E-1,1.278357673E-2,8.801957592E-3,3.816075157E-3
4.878830370E-1,6.064059213E-3,8.191092871E-3,2.641808800E-2
4.998809010E-1,9.729251266E-3,-9.718865622E-4,3.985712305E-2
5.118794330E-1,1.828136481E-2,-1.582751865E-3,3.802452981E-2
5.238774650E-1,2.377915196E-2,3.915035166E-3,2.519636042E-2
5.358759300E-1,2.805520780E-2,-2.804482123E-3,1.664424501E-2
5.478743280E-1,2.805520780E-2,-8.302269503E-3,1.542251464E-2
5.598724260E-1,1.889222860E-2,-5.247943569E-3,1.969857141E-2
5.718708910E-1,9.118385613E-3,-3.610213753E-4,3.130501136E-2
5.838698560E-1,3.620598232E-3,1.063455269E-2,4.230058566E-2
5.958687190E-1,3.009733045E-3,2.498438698E-4,5.024183169E-2
6.078673820E-1,-4.459316187E-5,-1.013486460E-2,6.001567841E-2
6.178676130E-1,-5.542380270E-3,7.580226753E-3,6.429173052E-2
6.298658430E-1,-1.470535900E-2,2.773877978E-2,6.490260363E-2
6.418648060E-1,-2.631179802E-2,3.018224053E-2,5.390702561E-2
6.538627040E-1,-5.013554543E-2,2.040839754E-2,3.374847025E-2
6.658612360E-1,-7.334841788E-2,6.969361566E-3,9.924727492E-3
6.778585010E-1,-8.739832044E-2,8.607091149E-4,-9.012094699E-3
6.898573320E-1,-8.067880571E-2,8.607091149E-4,-1.328815147E-2
7.018554300E-1,-5.929852277E-2,5.747631192E-3,7.617489900E-4
7.138544950E-1,-3.180958703E-2,1.246714871E-2,1.847684011E-2
7.258525270E-1,-6.554583670E-4,1.471574418E-3,2.519636042E-2
7.378518250E-1,2.133568935E-2,-4.637078382E-3,1.603338122E-2
7.498502900E-1,2.744434401E-2,-7.080539130E-3,-4.599815293E-4
7.618488220E-1,2.500088140E-2,-1.990870945E-2,-9.012094699E-3
7.738470200E-1,1.767049916E-2,-2.662822790E-2,-1.512074750E-2
7.858459180E-1,1.522703841E-2,-3.518034145E-2,-8.401229978E-3
7.978443160E-1,1.339444239E-2,-4.189985618E-2,-5.346903112E-3
8.098423810E-1,1.217271108E-2,-3.945639729E-2,-5.957768764E-3
8.218404130E-1,1.217271108E-2,-2.601736225E-2,-7.790364325E-3
8.338386780E-1,4.231463652E-3,-2.113043889E-2,-1.512074750E-2
8.458370760E-1,-1.409449428E-2,-1.380005665E-2,-1.328815147E-2
8.578346410E-1,-3.180958703E-2,-4.637078382E-3,-9.012094699E-3
8.698335060E-1,-5.257900059E-2,-1.563265175E-2,4.426940344E-3
8.818324040E-1,-6.662890315E-2,-2.907168679E-2,1.542251464E-2
8.938310690E-1,-5.380073562E-2,-2.418476716E-2,1.786597632E-2
9.058295340E-1,-2.203574218E-2,-7.080539130E-3,7.617489900E-4
9.178288320E-1,1.339444239E-2,-4.026212730E-3,-2.733805217E-2
9.298272970E-1,4.149424285E-2,2.498438698E-4,-5.421612039E-2
9.418253290E-1,5.859846994E-2,-2.113043889E-2,-6.704429537E-2
9.538237270E-1,6.287452579E-2,-5.350629985E-2,-5.604871735E-2
9.658221920E-1,5.187895149E-2,-5.961494893E-2,-2.550545707E-2
9.778207900E-1,3.782905266E-2,-3.762380034E-2,9.924727492E-3
9.898188890E-1,2.683347650E-2,-1.624351740E-2,2.214203216E-2
1.001817919E0,1.828136481E-2,-1.502178796E-2,9.924727492E-3
1.013816483E0,1.177137368E-3,-1.929784380E-2,-1.634247787E-2
1.025815046E0,-1.409449428E-2,-2.540649660E-2,-4.016622156E-2
1.037813709E0,-2.142487653E-2,-1.929784380E-2,-4.260968417E-2
1.049812373E0,-2.203574218E-2,-2.804482123E-3,-2.794891782E-2
1.061810371E0,-1.348362863E-2,1.124541834E-2,-9.622960351E-3
1.073808970E0,-6.153245457E-3,4.525900353E-3,7.481266279E-3
1.085807602E0,-1.877188915E-3,-6.469673477E-3,1.786597632E-2
1.097806134E0,-4.320649896E-3,-7.080539130E-3,2.336376347E-2
1.109804899E0,-7.985841483E-3,-3.610213753E-4,2.519636042E-2
1.121803830E0,-3.709784709E-3,1.471574418E-3,2.702895366E-2
1.133802328E0,6.064059213E-3,-5.247943569E-3,2.702895366E-2
1.145800793E0,1.461617276E-2,-5.858808290E-3,2.397462912E-2
1.157798524E0,1.828136481E-2,-1.196746062E-2,2.030943707E-2
1.169797623E0,2.011395991E-2,-1.318919193E-2,1.908770576E-2
1.181796088E0,1.583790220E-2,-1.624351740E-2,1.786597632E-2
1.193794619E0,5.453194026E-3,-1.563265175E-2,1.664424501E-2
1.205793017E0,-1.042930223E-2,-7.691404317E-3,1.481164899E-2
1.217791181E0,-2.447920293E-2,-4.026212730E-3,1.664424501E-2
1.229789079E0,-3.180958703E-2,2.693304792E-3,1.847684011E-2
1.241787511E0,-2.631179802E-2,3.915035166E-3,1.847684011E-2
1.253786075E0,-1.226189826E-2,-2.804482123E-3,1.358991954E-2
1.265784908E0,4.231463652E-3,-9.718865622E-4,9.924727492E-3
1.275785072E0,1.705963351E-2,-4.026212730E-3,-3.514307784E-3
1.287784335E0,2.866607346E-2,8.607091149E-4,-1.817507297E-2
1.299783531E0,2.561174706E-2,1.979753189E-2,-3.039237857E-2
1.311782329E0,1.217271108E-2,1.429974474E-2,-3.894449398E-2
1.323781261E0,-6.764111109E-3,-3.415347543E-3,-4.260968417E-2
1.335780327E0,-2.081401087E-2,-1.563265175E-2,-3.283583745E-2
1.347778792E0,-2.875526063E-2,-1.685438305E-2,-1.573161222E-2
1.359777323E0,-2.386833727E-2,-5.858808290E-3,7.481266279E-3
1.371777054E0,-1.042930223E-2,2.693304792E-3,2.702895366E-2
1.383775519E0,9.118385613E-3,-3.610213753E-4,3.191587701E-2
1.395772284E0,1.522703841E-2,-9.718865622E-4,2.275289781E-2
1.407770682E0,1.217271108E-2,1.368887909E-2,8.092131466E-3
1.419769214E0,1.034011599E-2,1.307801437E-2,-1.267728582E-2
1.431766912E0,1.095098071E-2,-7.691404317E-3,-2.245113067E-2
1.443765377E0,6.674924400E-3,-8.302269503E-3,-1.939680427E-2
1.455763841E0,-4.459316187E-5,-1.582751865E-3,-7.790364325E-3
1.467762306E0,-6.153245457E-3,-5.858808290E-3,1.053559314E-2
1.479760771E0,-1.104016788E-2,2.693304792E-3,2.947241627E-2
1.491759403E0,-1.042930223E-2,-2.193617169E-3,4.107885435E-2
1.503758801E0,-6.764111109E-3,-3.415347543E-3,4.168972000E-2
1.515758833E0,1.788002555E-3,4.525900353E-3,2.580722421E-2
1.527757298E0,2.398867859E-3,1.471574418E-3,9.313862771E-3
1.539755763E0,-7.985841483E-3,-7.691404317E-3,-6.568633951E-3
1.551753694E0,-1.653795503E-2,-1.807611249E-2,-1.206642110E-2
1.563751026E0,-2.325747348E-2,-1.196746062E-2,-5.957768764E-3
1.575748358E0,-1.898141578E-2,9.412822314E-3,1.175732352E-2
1.587746890E0,-1.287276391E-2,6.969361566E-3,3.435933590E-2
1.599745355E0,-1.877188915E-3,3.915035166E-3,3.924625739E-2
1.611743986E0,9.118385613E-3,-8.302269503E-3,3.130501136E-2
1.623742750E0,7.896655239E-3,-1.013486460E-2,5.648671184E-3
1.635742280E0,8.507520892E-3,-3.610213753E-4,-1.939680427E-2
1.647740943E0,7.285790052E-3,-3.610213753E-4,-2.794891782E-2
1.659739573E0,3.620598232E-3,-9.718865622E-4,-1.817507297E-2
1.671738603E0,-4.320649896E-3,-7.691404317E-3,-2.903442597E-3
1.683737168E0,-1.042930223E-2,-1.441092230E-2,6.259536371E-3
1.695735633E0,-1.287276391E-2,-8.302269503E-3,-4.599815293E-4
1.707734098E0,-8.596706204E-3,-1.582751865E-3,-1.023382600E-2
1.719732529E0,-3.098919289E-3,8.607091149E-4,-2.367286198E-2
1.731730628E0,9.729251266E-3,2.693304792E-3,-3.222497553E-2
1.743729093E0,2.561174706E-2,2.498438698E-4,-3.161410987E-2
1.755726825E0,2.988780476E-2,-1.257832628E-2,-1.267728582E-2
1.767725223E0,2.377915196E-2,-2.662822790E-2,7.617489900E-4
1.779723688E0,9.729251266E-3,-1.990870945E-2,1.358991954E-2
1.791722153E0,-9.207571857E-3,-4.026212730E-3,1.420078427E-2
1.803720618E0,-2.325747348E-2,3.304170212E-3,1.420078427E-2
1.815719816E0,-2.386833727E-2,8.801957592E-3,8.702997118E-3
1.827718281E0,-2.447920293E-2,-4.026212730E-3,3.205209970E-3
1.839716813E0,-1.531622373E-2,-1.582751865E-3,-4.599815293E-4
1.851715278E0,-5.542380270E-3,4.525900353E-3,-1.681711990E-3
1.863713743E0,-6.554583670E-4,1.857580245E-2,1.983479597E-3
1.875712141E0,4.842328839E-3,2.101926319E-2,4.426940344E-3
1.887710606E0,7.285790052E-3,1.124541834E-2,4.426940344E-3
1.899708704E0,-3.098919289E-3,-8.913134225E-3,4.426940344E-3
1.911707236E0,-9.207571857E-3,-7.080539130E-3,3.205209970E-3
1.923705634E0,-4.320649896E-3,-5.858808290E-3,4.426940344E-3
