"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,3.145313263E-1,9.640063345E-2,2.963876724E-1
1.999883300E-2,2.228853554E-1,4.235474765E-2,1.665897369E-1
3.999773300E-2,1.468165368E-1,4.680482671E-2,1.507339478E-1
5.999680400E-2,1.255024523E-1,5.372660235E-2,4.701232910E-2
7.999562300E-2,9.442050755E-2,1.670870930E-2,1.548385620E-2
9.999410400E-2,7.347406447E-2,3.434322029E-2,4.873561859E-2
1.199925070E-1,5.737612396E-2,-1.609072834E-2,1.395988464E-1
1.399907110E-1,4.411296546E-2,1.338633150E-2,1.021099091E-2
1.599888900E-1,1.973200589E-2,-3.238387406E-3,2.453899384E-2
1.799871580E-1,5.573809147E-3,-1.489050686E-2,5.564117432E-2
1.999855960E-1,9.212758392E-3,2.608599886E-2,5.560684204E-2
2.199839940E-1,1.857156307E-2,1.731682569E-3,7.715702057E-2
2.399822800E-1,-5.268190056E-3,1.250211895E-2,3.167724609E-2
2.599805440E-1,1.765235513E-2,1.550254971E-2,3.170681000E-2
2.799787180E-1,2.100590430E-2,-1.744820550E-2,7.001495361E-2
2.999768500E-1,-8.589750156E-3,-7.285740227E-3,2.686595917E-2
3.199748830E-1,-1.021813601E-3,-7.777266204E-3,2.686977386E-2
3.399728490E-1,-1.164026558E-3,1.258155704E-2,6.037425995E-2
3.599706490E-1,-1.412286796E-2,-1.627965644E-2,-4.226684570E-3
3.799683820E-1,8.086308837E-3,-5.759537220E-3,5.079936981E-2
3.999661820E-1,2.108762041E-3,1.898387820E-2,5.081081390E-2
4.199639820E-1,6.047157571E-3,7.748953998E-3,5.322170258E-2
4.399617820E-1,1.115524583E-2,-1.375288889E-2,5.322265625E-2
4.599595150E-1,-5.451744422E-3,-1.161004603E-2,2.209854126E-2
4.799571810E-1,-3.399550915E-4,7.611051202E-3,6.280231476E-2
4.999546470E-1,5.867805332E-3,-1.946018264E-2,2.692985535E-2
5.199520130E-1,-1.405209675E-2,1.226451248E-2,2.211761475E-2
5.399494790E-1,5.788877606E-4,5.819499493E-4,4.366588593E-2
5.599469780E-1,3.410778940E-3,3.208674490E-3,2.690505981E-2
5.799445100E-1,-3.738583997E-3,-5.839362741E-3,2.929592133E-2
5.999419760E-1,-3.648530692E-3,-5.729988217E-3,3.887271881E-2
6.199395080E-1,-1.051683351E-2,1.580698043E-2,3.408527374E-2
6.399369740E-1,8.656941354E-3,-8.137680590E-3,4.366207123E-2
6.599345060E-1,-1.495661959E-2,-1.060352474E-2,1.014423370E-2
6.799320380E-1,6.760418415E-3,6.026618183E-3,5.324268341E-2
6.999295700E-1,-2.920648083E-2,-1.042820886E-2,1.058759689E-1
7.199270360E-1,-1.684355736E-2,-7.063400000E-3,2.232236862E-1
7.399245020E-1,2.040800638E-2,1.169642061E-2,1.083021164E-1
7.599220340E-1,1.247846708E-2,6.529547274E-3,1.921014786E-1
7.799195000E-1,-2.615009621E-2,-3.060199320E-3,8.914756775E-2
7.999170320E-1,2.794574946E-3,2.470761538E-3,6.042671204E-2
8.199145980E-1,9.348979220E-3,-5.083002150E-3,1.035251617E-1
8.399121300E-1,-1.030314714E-2,-2.958275378E-3,7.476329803E-2
8.599095630E-1,-6.283797324E-2,-1.990915835E-2,7.715892792E-2
8.799069620E-1,1.311057061E-2,6.492573768E-3,1.011247635E-1
8.999044280E-1,5.749799311E-4,-1.996572316E-2,1.777410507E-1
9.199018940E-1,2.589810640E-3,2.933061868E-2,7.235908508E-2
9.398993600E-1,-3.449544311E-4,4.708394408E-2,5.083084106E-2
9.598967930E-1,-8.606232703E-3,-8.052674681E-2,3.197765350E-2
9.798943250E-1,1.247194968E-2,-2.942747995E-2,1.503658295E-2
9.998917910E-1,7.883720100E-3,-1.776806265E-2,3.893756866E-2
1.019889257E0,3.256108984E-2,2.959652990E-2,-1.377201080E-2
1.039886789E0,-2.409022115E-2,4.426866770E-3,-3.291988373E-2
1.059884321E0,3.279035911E-3,9.945507348E-2,5.812072754E-2
1.079881853E0,-8.551057428E-3,1.654298902E-1,5.575370789E-2
1.099879319E0,1.014372706E-2,-3.491887152E-1,4.379367828E-2
1.119876851E0,-5.176518857E-2,-7.479970157E-2,-6.442070007E-3
1.139874317E0,8.098277450E-2,-1.767838895E-1,-3.955841064E-3
1.159871849E0,-1.944353431E-2,-5.023610592E-2,9.910297394E-2
1.179869381E0,-3.126328588E-1,1.271498799E-1,2.983856201E-2
1.199866913E0,-3.244638443E-2,-7.725452632E-2,1.328086853E-2
1.219864379E0,-3.597736359E-4,-3.068666905E-2,5.416584015E-2
1.239861979E0,2.968139946E-2,-4.903036356E-2,4.233169556E-2
1.259859678E0,3.821521997E-2,-3.230616450E-2,6.494522095E-3
1.279857277E0,-6.353452802E-3,8.265769482E-2,-6.058692932E-2
1.299854943E0,-1.941845566E-1,1.267947108E-1,8.062171936E-2
1.319852309E0,-1.033284217E-1,-7.060450315E-2,4.244041443E-2
1.339849975E0,-1.305966526E-1,-2.291005403E-1,-2.218151093E-2
1.359847574E0,1.697956026E-2,-3.959370032E-2,8.553981781E-2
1.379846206E0,2.111539245E-2,-1.311969012E-2,7.107067108E-2
1.399843872E0,5.563400686E-2,-1.273128986E-1,-2.697467804E-2
1.419841538E0,4.356625676E-2,-1.376839876E-1,1.612377167E-2
1.439839204E0,-9.229256213E-2,1.506481767E-1,9.996223450E-2
1.459836803E0,-1.310983300E-2,2.145916224E-3,2.356815338E-2
