"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.600523400E-2,5.554717779E-1,-7.182824612E-1,1.102563572E1
2.800066400E-2,3.830839694E-1,-8.044763207E-1,1.095380688E1
3.999835800E-2,3.016786277E-1,-6.967339516E-1,1.088916206E1
5.199717700E-2,4.285751879E-1,-6.320885420E-1,9.873989105E0
6.399506300E-2,5.411061049E-1,-4.812492430E-1,8.880365372E0
7.599352800E-2,5.219519138E-1,-2.705530524E-1,8.528407097E0
8.799199300E-2,5.339232683E-1,-1.628106833E-1,8.779806137E0
9.999035800E-2,5.099805593E-1,-2.777358890E-1,9.644139290E0
1.119889540E-1,4.285751879E-1,-5.818088055E-1,1.031453609E1
1.239868520E-1,4.597007632E-1,-6.799740195E-1,1.086043072E1
1.359861850E-1,4.740664065E-1,-6.967339516E-1,1.068564892E1
1.479857170E-1,5.315290093E-1,-6.536370516E-1,1.026186180E1
1.599851500E-1,5.075862408E-1,-6.153286099E-1,9.739910126E0
1.719846460E-1,5.027977228E-1,-4.860377908E-1,9.320911407E0
1.819846780E-1,4.860377908E-1,-3.112557232E-1,9.100638390E0
1.939834110E-1,5.339232683E-1,-2.322446555E-1,9.174860954E0
2.059815420E-1,5.411061049E-1,-3.304099143E-1,9.684841156E0
2.179800070E-1,4.381522834E-1,-5.913859010E-1,1.016130257E1
2.299785390E-1,4.549122155E-1,-6.584255695E-1,1.037199879E1
2.419766710E-1,4.956148863E-1,-6.584255695E-1,1.029059315E1
2.539751360E-1,4.597007632E-1,-5.363175869E-1,1.005834866E1
2.659738010E-1,4.644893110E-1,-4.142095447E-1,9.730332375E0
2.779722660E-1,5.435003638E-1,-4.142095447E-1,9.419076920E0
2.899707310E-1,5.339232683E-1,-4.453351200E-1,9.421471596E0
3.019683620E-1,4.932205975E-1,-4.836435020E-1,9.605830193E0
3.139667600E-1,4.932205975E-1,-5.075862408E-1,9.878777504E0
3.259652250E-1,5.339232683E-1,-5.722316504E-1,1.009905148E1
3.379636900E-1,5.554717779E-1,-5.985686779E-1,1.017327404E1
3.499620550E-1,5.004034638E-1,-5.626545548E-1,1.005116558E1
3.619613860E-1,4.357580245E-1,-5.051919818E-1,9.835680962E0
3.739598510E-1,4.860377908E-1,-4.549122155E-1,9.648927689E0
3.859581500E-1,5.315290093E-1,-3.998439014E-1,9.560338974E0
3.979566820E-1,4.692778587E-1,-4.142095447E-1,9.653716087E0
4.099549800E-1,4.716721475E-1,-4.453351200E-1,9.804554939E0
4.219533780E-1,4.597007632E-1,-5.075862408E-1,9.936240196E0
4.339518430E-1,4.525179267E-1,-5.123748183E-1,1.002482891E1
4.459505410E-1,4.525179267E-1,-4.812492430E-1,1.000806904E1
4.579490060E-1,5.195576549E-1,-5.243461728E-1,9.821314812E0
4.699479370E-1,5.435003638E-1,-5.051919818E-1,9.754275322E0
4.819472360E-1,4.908263385E-1,-4.932205975E-1,9.687235832E0
4.939457010E-1,5.315290093E-1,-4.908263385E-1,9.744698524E0
5.059437660E-1,5.482889414E-1,-5.051919818E-1,9.794978142E0
5.179423620E-1,5.243461728E-1,-5.411061049E-1,9.919480324E0
5.279424590E-1,5.075862408E-1,-5.482889414E-1,9.917086601E0
5.399411220E-1,4.501236677E-1,-5.147690773E-1,9.926663399E0
5.519390860E-1,4.884320498E-1,-5.027977228E-1,9.893143654E0
5.639377490E-1,4.668835998E-1,-4.932205975E-1,9.794978142E0
5.759362810E-1,4.429408312E-1,-4.716721475E-1,9.732727051E0
5.879328460E-1,4.668835998E-1,-4.381522834E-1,9.759063721E0
5.999313110E-1,4.980091453E-1,-4.812492430E-1,9.802161217E0
6.119287760E-1,4.189980924E-1,-4.932205975E-1,9.842864037E0
6.239272080E-1,4.525179267E-1,-4.812492430E-1,9.897932053E0
6.359256730E-1,5.075862408E-1,-4.740664065E-1,9.876383781E0
6.479243380E-1,5.435003638E-1,-4.956148863E-1,9.859623909E0
6.599228030E-1,5.171633363E-1,-5.027977228E-1,9.785401344E0
6.719221340E-1,4.932205975E-1,-5.147690773E-1,9.775823593E0
6.839209990E-1,5.099805593E-1,-4.908263385E-1,9.790189743E0
6.959194640E-1,5.387118459E-1,-5.027977228E-1,9.804554939E0
7.079182290E-1,4.956148863E-1,-5.195576549E-1,9.835680962E0
7.199166270E-1,4.333637357E-1,-5.051919818E-1,9.864412308E0
7.319151590E-1,5.051919818E-1,-4.956148863E-1,9.871595383E0
7.439136240E-1,4.644893110E-1,-5.051919818E-1,9.850046158E0
7.559120890E-1,4.716721475E-1,-4.764606953E-1,9.828497887E0
7.679104200E-1,4.860377908E-1,-4.644893110E-1,9.811738014E0
7.799088850E-1,4.884320498E-1,-4.860377908E-1,9.804554939E0
7.919073500E-1,4.620950520E-1,-4.932205975E-1,9.814132690E0
8.039063140E-1,4.812492430E-1,-4.716721475E-1,9.833286285E0
8.159047790E-1,5.147690773E-1,-4.788549542E-1,9.842864037E0
8.279030110E-1,5.147690773E-1,-4.908263385E-1,9.838075638E0
8.399010090E-1,5.075862408E-1,-5.243461728E-1,9.830892563E0
8.518985410E-1,5.051919818E-1,-5.099805593E-1,9.840469360E0
8.638965390E-1,4.956148863E-1,-5.075862408E-1,9.809344292E0
8.758949370E-1,5.243461728E-1,-4.836435020E-1,9.826104164E0
8.878937020E-1,4.716721475E-1,-4.860377908E-1,9.830892563E0
8.998927000E-1,4.644893110E-1,-5.027977228E-1,9.835680962E0
9.118921640E-1,5.099805593E-1,-5.147690773E-1,9.840469360E0
9.238907940E-1,4.644893110E-1,-5.147690773E-1,9.840469360E0
9.358890240E-1,4.908263385E-1,-4.860377908E-1,9.842864037E0
9.478876870E-1,5.075862408E-1,-4.884320498E-1,9.842864037E0
9.598863500E-1,4.525179267E-1,-5.027977228E-1,9.840469360E0
