"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-7.536696792E-1,3.935664296E-1,1.029681206E0,1.335348608E0
1.972000000E-3,-7.353436947E-1,4.094489217E-1,1.014409542E0,1.318106782E0
3.972000000E-3,-7.292350531E-1,4.125032425E-1,1.008911729E0,1.311428825E0
5.972000000E-3,-7.249589562E-1,4.131141007E-1,1.003414035E0,1.305016657E0
7.972000000E-3,-7.151851058E-1,4.137249887E-1,9.905858040E-1,1.289929586E0
9.971600000E-3,-7.035787106E-1,4.167793095E-1,9.734815955E-1,1.271375008E0
1.197126600E-2,-7.005243301E-1,4.137249887E-1,9.655403495E-1,1.262604796E0
1.397098000E-2,-6.889179945E-1,4.125032425E-1,9.496578574E-1,1.243630562E0
1.597073000E-2,-6.754788756E-1,4.015076756E-1,9.374405742E-1,1.223223183E0
1.797050700E-2,-6.718137264E-1,3.972316384E-1,9.270557761E-1,1.211841190E0
1.997030700E-2,-6.657050848E-1,3.837925792E-1,9.123950005E-1,1.192864050E0
2.196776100E-2,-6.553203464E-1,3.721861541E-1,8.897930384E-1,1.166061294E0
2.396742700E-2,-6.522660255E-1,3.648557663E-1,8.836843967E-1,1.157354229E0
2.596735000E-2,-6.449356675E-1,3.526384532E-1,8.635258079E-1,1.134007370E0
2.796706400E-2,-6.394378543E-1,3.373668194E-1,8.451998830E-1,1.112231982E0
2.996679700E-2,-6.382161379E-1,3.324798942E-1,8.342042565E-1,1.101707520E0
3.196654700E-2,-6.333292127E-1,3.153756857E-1,8.171001077E-1,1.080842403E0
3.396631100E-2,-6.266096830E-1,3.062126935E-1,7.981632948E-1,1.059938939E0
3.596608800E-2,-6.253879666E-1,2.982714474E-1,7.890002728E-1,1.050046378E0
3.796587700E-2,-6.174467206E-1,2.891084552E-1,7.700634599E-1,1.028504683E0
3.996557700E-2,-6.156141162E-1,2.732259929E-1,7.505157590E-1,1.008418112E0
4.196405300E-2,-6.088945866E-1,2.567326128E-1,7.328006625E-1,9.867426529E-1
4.396378000E-2,-6.107271910E-1,2.567326128E-1,7.242485285E-1,9.815473841E-1
4.596351900E-2,-6.040076613E-1,2.408501059E-1,7.065334320E-1,9.602205575E-1
4.796326900E-2,-6.009533405E-1,2.341306061E-1,6.998139620E-1,9.516835816E-1
4.996302900E-2,-5.972881317E-1,2.261893451E-1,6.857640147E-1,9.371163300E-1
5.196279800E-2,-5.893469453E-1,2.182481140E-1,6.698815227E-1,9.185332414E-1
5.396257500E-2,-5.887359977E-1,2.151937783E-1,6.637728810E-1,9.129692628E-1
5.596228900E-2,-5.801839232E-1,2.121394575E-1,6.485012770E-1,8.956396823E-1
5.796201300E-2,-5.734643936E-1,2.090851218E-1,6.344513297E-1,8.804013225E-1
5.996174600E-2,-5.661340356E-1,2.127503157E-1,6.265101433E-1,8.707958444E-1
6.196241200E-2,-5.539167523E-1,2.139720470E-1,6.179580092E-1,8.570180317E-1
6.396214500E-2,-5.435319543E-1,2.231350243E-1,6.032972336E-1,8.421304985E-1
6.596187800E-2,-5.368124843E-1,2.286328077E-1,5.977994204E-1,8.353470842E-1
6.796161100E-2,-5.227625966E-1,2.414609790E-1,5.880256295E-1,8.230177870E-1
6.996141100E-2,-5.074909925E-1,2.549000382E-1,5.758082867E-1,8.087498501E-1
7.196101100E-2,-5.007714629E-1,2.573434711E-1,5.715322495E-1,8.022760325E-1
7.396074400E-2,-4.854998291E-1,2.652847171E-1,5.525953770E-1,7.819512234E-1
7.596047700E-2,-4.726716280E-1,2.738368511E-1,5.379346609E-1,7.666673257E-1
7.796021000E-2,-4.653412402E-1,2.762803137E-1,5.299934149E-1,7.574736308E-1
7.995994300E-2,-4.457935691E-1,2.836107016E-1,5.116674304E-1,7.355069650E-1
8.195967600E-2,-4.305219352E-1,2.903302014E-1,4.945632219E-1,7.171007900E-1
8.395947600E-2,-4.164720476E-1,2.958280146E-1,4.854002297E-1,7.046818882E-1
8.595917600E-2,-3.987569511E-1,3.049909770E-1,4.664634168E-1,6.852844091E-1
8.795890900E-2,-3.877613842E-1,3.129322231E-1,4.566895664E-1,6.759074104E-1
8.995864200E-2,-3.663811088E-1,3.245386779E-1,4.383636117E-1,6.570564104E-1
9.195837500E-2,-3.437790871E-1,3.453080654E-1,4.200376570E-1,6.433143509E-1
9.395810800E-2,-3.303400278E-1,3.575253785E-1,4.072095156E-1,6.346404650E-1
9.595784100E-2,-3.071271777E-1,3.844034374E-1,3.919378519E-1,6.290535635E-1
9.795757400E-2,-2.796382010E-1,4.112815261E-1,3.748336434E-1,6.227762659E-1
9.995737400E-2,-2.661992013E-1,4.253314137E-1,3.650597930E-1,6.205138828E-1
1.019570400E-1,-2.203842998E-1,4.699245989E-1,3.363491297E-1,6.184893736E-1
1.039567730E-1,-2.038909346E-1,4.833636284E-1,3.284078538E-1,6.189213431E-1
1.059565060E-1,-1.880084425E-1,4.919157326E-1,3.174122870E-1,6.148811449E-1
1.079562390E-1,-1.592977792E-1,5.139068365E-1,2.990863323E-1,6.155718100E-1
1.099559720E-1,-1.226458624E-1,5.285676122E-1,2.819821239E-1,6.115060477E-1
1.119557050E-1,-1.067633554E-1,5.304002762E-1,2.734299898E-1,6.062069171E-1
1.139554380E-1,-7.683096081E-2,5.383414626E-1,2.544931769E-1,6.004009527E-1
1.159552380E-1,-4.262251407E-2,5.438392758E-1,2.379998118E-1,5.951653107E-1
1.179549710E-1,-2.674001455E-2,5.450610518E-1,2.288368344E-1,5.917540667E-1
1.199547040E-1,4.414112307E-3,5.426175594E-1,2.117326260E-1,5.824809053E-1
1.219535700E-1,3.251391277E-2,5.395632386E-1,1.927957982E-1,5.738953413E-1
1.239533030E-1,4.534208402E-2,5.401740670E-1,1.879088730E-1,5.737191576E-1
1.259530360E-1,7.099842280E-2,5.407849550E-1,1.732481122E-1,5.722796974E-1
1.279527690E-1,9.787649661E-2,5.426175594E-1,1.579764783E-1,5.735592316E-1
1.299521020E-1,1.070394740E-1,5.462827086E-1,1.475917697E-1,5.759041389E-1
1.319520350E-1,1.326958090E-1,5.481153727E-1,1.329309940E-1,5.794042532E-1
1.339517680E-1,1.522434950E-1,5.523914099E-1,1.164376363E-1,5.846982766E-1
1.359515010E-1,1.626282036E-1,5.523914099E-1,1.066637859E-1,5.856290341E-1
1.379512340E-1,1.791215688E-1,5.530022383E-1,9.200303257E-2,5.885240606E-1
1.399509670E-1,1.956149340E-1,5.542240143E-1,7.428793609E-2,5.924087760E-1
1.419509330E-1,2.072213739E-1,5.499479175E-1,5.718370900E-2,5.904687852E-1
1.439506660E-1,2.133300304E-1,5.468935966E-1,4.740986228E-2,5.889397278E-1
1.459503990E-1,2.206604183E-1,5.438392758E-1,3.274909407E-2,5.878134749E-1
1.479501990E-1,2.231038660E-1,5.426175594E-1,2.725131065E-2,5.873259612E-1
1.499499320E-1,2.224930078E-1,5.316219330E-1,1.136881392E-2,5.764150137E-1
1.519496650E-1,2.261582017E-1,5.291785002E-1,-3.902818076E-3,5.754933963E-1
1.539493980E-1,2.224930078E-1,5.242915750E-1,-1.062233560E-2,5.696469328E-1
1.559491310E-1,2.218821347E-1,5.157395005E-1,-2.161790989E-2,5.618596338E-1
1.579488640E-1,2.133300304E-1,5.102416873E-1,-3.383521736E-2,5.540768027E-1
1.599485970E-1,2.084431052E-1,5.065764785E-1,-3.627867624E-2,5.489848805E-1
1.619484630E-1,1.962257922E-1,5.004678369E-1,-4.666338488E-2,5.395832547E-1
1.639482630E-1,1.797324419E-1,4.992461205E-1,-4.971771315E-2,5.329374170E-1
1.659479960E-1,1.730129272E-1,5.004678369E-1,-5.093944073E-2,5.319740175E-1
1.679477290E-1,1.528543681E-1,5.016895533E-1,-5.032857507E-2,5.268679447E-1
1.699474620E-1,1.290306300E-1,5.023004413E-1,-4.666338488E-2,5.207034744E-1
1.719471950E-1,1.155915856E-1,5.029113293E-1,-4.360905662E-2,5.178638524E-1
1.739469280E-1,8.749178052E-2,5.059656501E-1,-3.200262040E-2,5.144708140E-1
1.759466610E-1,5.755938590E-2,5.108525753E-1,-1.734185405E-2,5.143774650E-1
1.779464610E-1,4.412035272E-2,5.145177841E-1,-1.306579728E-2,5.165712640E-1
1.799461940E-1,9.911899455E-3,5.157395005E-1,2.205834491E-3,5.158394555E-1
1.819458600E-1,-3.895732015E-2,5.187938213E-1,3.091650084E-2,5.211722670E-1
1.839455930E-1,-3.895732015E-2,5.187938213E-1,3.091650084E-2,5.211722670E-1
1.859453260E-1,-6.950058043E-2,5.181829333E-1,5.290764943E-2,5.254931992E-1
1.879450590E-1,-9.454605728E-2,5.175721049E-1,7.123360783E-2,5.309369714E-1
1.899451920E-1,-1.092068255E-1,5.151286125E-1,8.100745082E-2,5.327718323E-1
1.919449250E-1,-1.330305636E-1,5.163503289E-1,9.994427860E-2,5.424976054E-1
1.939447250E-1,-1.513565183E-1,5.126851797E-1,1.170485020E-1,5.472250368E-1
1.959444580E-1,-1.592977792E-1,5.096307993E-1,1.262114793E-1,5.486607983E-1
1.979441910E-1,-1.721259505E-1,5.059656501E-1,1.396505088E-1,5.523865010E-1
1.999439240E-1,-1.776237339E-1,5.041330457E-1,1.518678069E-1,5.556655013E-1
2.019434240E-1,-1.806780547E-1,5.071873665E-1,1.683611721E-1,5.641179561E-1
2.039431570E-1,-1.818997860E-1,5.065764785E-1,1.726372391E-1,5.652529319E-1
2.059428900E-1,-1.751802713E-1,5.090199709E-1,1.836328059E-1,5.687798042E-1
2.079426230E-1,-1.709042192E-1,5.151286125E-1,1.885197312E-1,5.745480211E-1
2.099424230E-1,-1.586869061E-1,5.255132914E-1,1.946283877E-1,5.824310799E-1
2.119421560E-1,-1.464696079E-1,5.395632386E-1,2.007370442E-1,5.940346753E-1
2.139418890E-1,-1.409718096E-1,5.450610518E-1,2.025696337E-1,5.983302248E-1
2.159416220E-1,-1.250893176E-1,5.658304691E-1,2.105108798E-1,6.165438246E-1
2.179413550E-1,-1.067633554E-1,5.835455060E-1,2.184521258E-1,6.321748990E-1
2.199410880E-1,-9.515692294E-2,5.920976400E-1,2.245607972E-1,6.403608412E-1
2.219407540E-1,-7.622010261E-2,6.171431541E-1,2.355563492E-1,6.649526076E-1
2.239404870E-1,-5.545068532E-2,6.495189667E-1,2.459410727E-1,6.967328597E-1
2.259402870E-1,-4.934202880E-2,6.635688543E-1,2.526605725E-1,7.117553127E-1
2.279400200E-1,-3.590299189E-2,6.971664429E-1,2.648778856E-1,7.466527762E-1
2.299397530E-1,-2.490741946E-2,7.307640314E-1,2.746517360E-1,7.810697954E-1
2.319394860E-1,-1.940963231E-2,7.472574115E-1,2.825929821E-1,7.991427697E-1
2.339392190E-1,-2.063136362E-2,7.686377168E-1,2.911450863E-1,8.221891839E-1
2.359389520E-1,-2.185309492E-2,7.961266637E-1,3.015298247E-1,8.515958300E-1
2.379386850E-1,-2.918347530E-2,8.028461337E-1,3.033623993E-1,8.587446273E-1
2.399384850E-1,-4.140077904E-2,8.126199841E-1,3.094710410E-1,8.705386771E-1
2.419383510E-1,-6.033760309E-2,8.132308125E-1,3.064167202E-1,8.711349994E-1
2.439385170E-1,-7.072231174E-2,8.126199841E-1,3.021406531E-1,8.698516300E-1
2.459385170E-1,-9.760037810E-2,7.967374921E-1,2.972537577E-1,8.559651053E-1
2.479382500E-1,-1.244784519E-1,7.808550000E-1,2.874798775E-1,8.413525397E-1
2.499379830E-1,-1.391392201E-1,7.680267692E-1,2.801495492E-1,8.292819850E-1
2.519377160E-1,-1.690716296E-1,7.356509566E-1,2.673213482E-1,8.007672878E-1
2.539374490E-1,-1.959496886E-1,6.928904057E-1,2.508279979E-1,7.625011995E-1
2.559372490E-1,-2.130539119E-1,6.660123467E-1,2.428867370E-1,7.402421107E-1
2.579370490E-1,-2.387102544E-1,6.116453409E-1,2.257825136E-1,6.943128633E-1
2.599367820E-1,-2.631448805E-1,5.487262011E-1,2.056239694E-1,6.423604040E-1
2.619374480E-1,-2.851360142E-1,4.821418822E-1,1.885197312E-1,5.910186378E-1
2.639371810E-1,-2.936881483E-1,4.515986443E-1,1.775241494E-1,5.671938712E-1
2.659364810E-1,-3.107923567E-1,3.874577582E-1,1.616416574E-1,5.223441670E-1
2.679362140E-1,-3.193444908E-1,3.581362367E-1,1.506460905E-1,5.029281384E-1
2.699359470E-1,-3.315617740E-1,2.994931936E-1,1.384287924E-1,4.677519787E-1
2.719357470E-1,-3.425573409E-1,2.542891502E-1,1.219354272E-1,4.437079581E-1
2.739354800E-1,-3.474442661E-1,2.310762852E-1,1.152159050E-1,4.328839018E-1
2.759352130E-1,-3.511094749E-1,1.913700253E-1,1.054420620E-1,4.135436838E-1
2.779349460E-1,-3.559963703E-1,1.608267725E-1,9.200303257E-2,4.013268299E-1
2.799346790E-1,-3.541637957E-1,1.479986012E-1,8.772696555E-2,3.937405245E-1
2.819344790E-1,-3.523311913E-1,1.241748556E-1,7.978571951E-2,3.819979374E-1
2.839342120E-1,-3.474442661E-1,1.064597592E-1,7.245533913E-2,3.705414613E-1
2.859339450E-1,-3.388921618E-1,1.076814979E-1,6.879014522E-2,3.621812895E-1
2.879337450E-1,-3.260639906E-1,9.668592364E-2,6.329236180E-2,3.459361456E-1
2.899334780E-1,-3.120141029E-1,9.424245358E-2,5.718370900E-2,3.309145162E-1
2.919332110E-1,-3.028511107E-1,1.021837071E-1,5.351851508E-2,3.240748937E-1
2.939329440E-1,-2.839142680E-1,1.119575500E-1,5.046418682E-2,3.093354793E-1
2.959326770E-1,-2.619231343E-1,1.168444753E-1,5.046418682E-2,2.912095360E-1
2.979324100E-1,-2.490949780E-1,1.168444753E-1,4.985332489E-2,2.796181208E-1
2.999321430E-1,-2.301581353E-1,1.192879304E-1,5.412938073E-2,2.648251639E-1
3.019318760E-1,-2.014474720E-1,1.272291839E-1,6.451409310E-2,2.468408747E-1
3.039312420E-1,-2.014474720E-1,1.272291839E-1,6.451409310E-2,2.468408747E-1
3.059307080E-1,-1.880084425E-1,1.333378255E-1,7.367707044E-2,2.419802903E-1
3.079304410E-1,-1.782345921E-1,1.406682134E-1,8.772696555E-2,2.434155635E-1
3.099301740E-1,-1.727368236E-1,1.467768699E-1,9.566821903E-2,2.460363142E-1
3.119299070E-1,-1.660172939E-1,1.565507054E-1,1.109398529E-1,2.537272477E-1
3.139296400E-1,-1.635738313E-1,1.638810933E-1,1.280440688E-1,2.645915618E-1
3.159293730E-1,-1.623521000E-1,1.687680185E-1,1.384287924E-1,2.720356208E-1
3.179291060E-1,-1.635738313E-1,1.742658019E-1,1.579764783E-1,2.864987534E-1
3.199289060E-1,-1.666281521E-1,1.583832949E-1,1.909631938E-1,2.988597507E-1
3.219276390E-1,-1.806780547E-1,1.144010052E-1,2.404432893E-1,3.217842830E-1
3.239273720E-1,-1.873975694E-1,9.668592364E-2,2.618235648E-1,3.361808976E-1
3.259275380E-1,-2.032800764E-1,7.469476759E-2,3.051950037E-1,3.742273214E-1
3.279272710E-1,-2.087778598E-1,6.797525287E-2,3.247426748E-1,3.920033604E-1
3.299270040E-1,-2.154973745E-1,7.530563325E-2,3.607837260E-1,4.269367093E-1
3.319267370E-1,-2.191625684E-1,9.424245358E-2,3.913269937E-1,4.583128707E-1
3.339265370E-1,-2.197734416E-1,1.089032218E-1,4.059877694E-1,4.743272564E-1
3.359263370E-1,-2.179408371E-1,1.431116760E-1,4.316441119E-1,5.042775026E-1
3.379256700E-1,-2.136647850E-1,1.785418540E-1,4.487483203E-1,5.281144658E-1
3.399254030E-1,-2.112213075E-1,2.035873383E-1,4.585222006E-1,5.443389142E-1
3.419251360E-1,-2.002257407E-1,2.487913668E-1,4.707394838E-1,5.688436983E-1
3.439248690E-1,-1.843432486E-1,2.927736640E-1,4.774589837E-1,5.896320316E-1
3.459246020E-1,-1.770128608E-1,3.141539395E-1,4.786807299E-1,5.993008357E-1
3.479243350E-1,-1.599086523E-1,3.550819159E-1,4.792915881E-1,6.175551558E-1
3.499241350E-1,-1.403609514E-1,3.850143254E-1,4.762372673E-1,6.282827088E-1
3.519239010E-1,-1.305871159E-1,4.021185338E-1,4.731829464E-1,6.345505582E-1
3.539236670E-1,-1.073742285E-1,4.241096675E-1,4.634090960E-1,6.372960264E-1
3.559234330E-1,-8.599394560E-2,4.375487268E-1,4.493591785E-1,6.330620178E-1
3.579231990E-1,-7.438750565E-2,4.375487268E-1,4.420288205E-1,6.263959351E-1
3.599229650E-1,-5.117462575E-2,4.424356520E-1,4.243137240E-1,6.151506197E-1
3.619236980E-1,-2.857261151E-2,4.406030476E-1,4.059877694E-1,5.998112274E-1
3.639234640E-1,-1.330097951E-2,4.406030476E-1,3.956030607E-1,5.922919409E-1
