"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-5.609417615E-2,2.186097146E-2,-1.153938800E0,1.155508205E0
1.997100000E-2,-3.489706375E-1,1.524301421E-1,-9.479956434E-2,3.924314099E-1
2.998000001E-2,-1.111940296E0,1.742294483E-1,7.824612424E-1,1.370770848E0
3.997800000E-2,-1.097650140E0,1.764483752E-1,7.816972306E-1,1.359051294E0
4.997900000E-2,-1.127355238E0,8.876926688E-2,8.454611173E-1,1.411954077E0
5.997700000E-2,-1.199958872E0,8.757723888E-2,8.498291335E-1,1.473017523E0
6.999700000E-2,-5.291772192E-1,-5.205770614E-2,3.136596082E-3,5.317408884E-1
7.999500001E-2,-3.636344676E-1,1.371961353E-1,-7.332697134E-1,8.299019691E-1
8.999300000E-2,-2.784284209E-1,-8.296069767E-2,-6.499626779E-1,7.119384423E-1
9.999600000E-2,-3.190151324E-1,7.200057159E-2,-7.590370041E-1,8.264937451E-1
1.099670000E-1,-4.012231107E-1,1.474643662E-3,-5.567666850E-1,6.862734883E-1
1.199650000E-1,-6.753641521E-1,8.454298164E-2,1.572011137E-1,6.985531074E-1
1.299940000E-1,-8.830692389E-1,-1.853967302E-2,1.544491948E-1,8.966657983E-1
1.399660000E-1,-1.089992041E0,4.460499125E-2,7.682922694E-1,1.334295794E0
1.499640000E-1,-1.106839478E0,2.861650866E-2,2.583891358E-1,1.136959753E0
1.599940000E-1,-9.802524481E-1,2.585145631E-2,6.775654095E-1,1.191913606E0
1.699650000E-1,-6.113045425E-1,-4.985357336E-4,-3.437610744E-2,6.122705358E-1
1.799630000E-1,-3.699955439E-1,8.535825937E-3,-2.221786083E-1,4.316629436E-1
1.899910000E-1,-2.293493047E-1,4.032592117E-2,-6.562925812E-1,6.963815302E-1
1.999920000E-1,-2.131662948E-1,2.315296629E-2,-7.352098196E-1,7.658390222E-1
2.099900000E-1,-1.965525279E-1,2.530955589E-3,-4.841340340E-1,5.225180043E-1
2.199890000E-1,-4.369729142E-1,8.919829720E-2,-2.791943148E-1,5.261664464E-1
2.299610000E-1,-6.027662189E-1,-9.571738534E-2,1.203846686E-1,6.220782917E-1
2.399590000E-1,-5.391010771E-1,-9.740586022E-2,1.169381826E-1,5.601717696E-1
2.499890000E-1,-8.207499068E-1,1.059111379E-1,3.591036064E-1,9.021102919E-1
2.599760000E-1,-8.414853761E-1,3.022076308E-2,4.569643617E-1,9.580330686E-1
2.699740000E-1,-6.108837257E-1,2.634096648E-2,1.485050158E-1,6.292269166E-1
2.799880000E-1,-3.710420859E-1,-2.422117950E-2,-6.980657293E-2,3.783277054E-1
2.899670000E-1,-2.435813179E-1,8.152358911E-2,-4.961311318E-1,5.586806368E-1
2.999650000E-1,-1.389474678E-1,-2.045801200E-2,-5.537530301E-1,5.712856968E-1
3.099860000E-1,-1.722787988E-1,3.730595534E-2,-6.909445699E-1,7.130751135E-1
3.199620000E-1,-3.371556805E-1,2.541872352E-2,-1.850010793E-1,3.854159619E-1
3.299600000E-1,-2.818657432E-1,2.905430523E-2,-1.878391350E-1,3.399646900E-1
3.399840000E-1,-4.551473029E-1,-3.116199121E-2,-3.228021639E-2,4.573534185E-1
3.499790000E-1,-8.114119034E-1,-2.765664660E-4,4.047828225E-1,9.067736691E-1
3.599770000E-1,-8.058630420E-1,-6.922973426E-4,4.045802165E-1,9.017210618E-1
3.699820000E-1,-7.768264999E-1,3.803633882E-2,3.556945701E-1,8.552337699E-1
3.799780000E-1,-3.811970915E-1,-2.409728077E-3,-8.215287742E-2,3.899565676E-1
3.899760000E-1,-4.346634832E-1,-5.016490761E-3,-7.972958112E-2,4.419437916E-1
3.999500000E-1,-2.421031418E-1,1.550076427E-2,-2.823079571E-1,3.722257213E-1
4.099660000E-1,-9.967129997E-2,-1.214203338E-2,-5.687420020E-1,5.775372384E-1
4.199640000E-1,-7.626944101E-2,-1.238416521E-2,-5.699571630E-1,5.751708988E-1
4.299800000E-1,-2.455503130E-1,5.739271483E-2,-2.331118783E-1,3.434094171E-1
4.399540000E-1,-5.687759889E-1,3.303891318E-2,2.116925772E-1,6.077922693E-1
4.499520000E-1,-5.289563407E-1,3.440207502E-2,2.101637679E-1,5.702167328E-1
4.599780000E-1,-6.983830322E-1,-2.642785302E-3,2.718924032E-1,7.494473450E-1
4.699510000E-1,-5.246734379E-1,7.197183001E-3,1.612058900E-1,5.489274587E-1
4.799490000E-1,-5.631447913E-1,7.084135309E-3,1.624768006E-1,5.861577874E-1
4.899760000E-1,-2.281067896E-1,-1.268262503E-3,-2.599223305E-1,3.458235589E-1
4.999580000E-1,-1.262245752E-1,3.783571308E-2,-4.047864040E-1,4.256949816E-1
5.099560000E-1,-1.439484543E-1,3.647753279E-2,-4.040195782E-1,4.304458008E-1
5.199650000E-1,-9.939300905E-2,-8.783140319E-3,-4.868978301E-1,4.970167107E-1
5.299470000E-1,-1.947214358E-1,5.677955205E-2,-3.105884542E-1,3.709522111E-1
5.399450000E-1,-2.545553175E-1,-5.724578527E-2,-1.143696287E-1,2.848787488E-1
5.499740000E-1,-4.067963113E-1,4.346965840E-2,4.660446948E-2,4.117582138E-1
5.599740000E-1,-4.963347976E-1,-1.436203158E-2,1.964098376E-1,5.339768942E-1
5.699720000E-1,-5.509282767E-1,3.304687772E-2,2.850412746E-1,6.211783886E-1
5.799710000E-1,-5.137352709E-1,-1.225665337E-3,1.485473077E-1,5.347819494E-1
5.899710000E-1,-3.791205259E-1,-1.328033152E-3,8.974537731E-2,3.896002690E-1
5.999690000E-1,-2.291511572E-1,2.127647830E-2,-1.682100869E-1,2.850571429E-1
6.099690000E-1,-1.599192285E-1,1.366444163E-2,-2.359049471E-1,2.853279177E-1
6.199700000E-1,-1.330528531E-1,3.458319709E-2,-4.255765812E-1,4.472297907E-1
6.299680000E-1,-1.296946510E-1,1.521655304E-2,-3.094232868E-1,3.358496932E-1
6.399680000E-1,-1.635616601E-1,2.275210083E-2,-2.139504064E-1,2.702681098E-1
6.499690000E-1,-2.467797997E-1,-1.225427794E-3,-7.053875397E-2,2.566661003E-1
6.599670000E-1,-3.625866466E-1,-2.961719795E-3,9.991100840E-2,3.761117622E-1
6.699670000E-1,-4.344841564E-1,3.107981271E-2,1.330319950E-1,4.554557593E-1
6.799670000E-1,-4.534773016E-1,2.438288242E-2,2.373035828E-1,5.123955293E-1
6.899650000E-1,-4.094666250E-1,1.592827368E-3,8.463559605E-2,4.181251466E-1
6.999660000E-1,-3.164642115E-1,1.052356634E-2,9.617476322E-3,3.167851614E-1
7.099650000E-1,-1.870139833E-1,-9.933987705E-3,-1.889688902E-1,2.660491600E-1
7.199630000E-1,-1.217973193E-1,1.957970311E-2,-2.630275675E-1,2.905192817E-1
7.299630000E-1,-1.076147790E-1,2.444824561E-2,-3.027306003E-1,3.222180531E-1
7.399640000E-1,-1.061115421E-1,1.144334821E-2,-2.861557905E-1,3.054107824E-1
7.499620000E-1,-1.466485797E-1,5.900203189E-3,-1.649539187E-1,2.207949583E-1
7.599620000E-1,-2.170280519E-1,6.955991636E-3,-3.027072708E-2,2.192393168E-1
7.699620000E-1,-3.209189493E-1,8.510317459E-3,7.088608772E-2,3.287647106E-1
7.799600000E-1,-3.369154330E-1,1.993472503E-2,1.199227751E-1,3.581771548E-1
7.899560000E-1,-3.594994629E-1,1.533234619E-2,6.461469768E-2,3.655817335E-1
7.999610000E-1,-1.556527710E-1,4.308152662E-2,-1.339946843E-1,2.098532308E-1
8.099590000E-1,2.134682304E-2,1.513547752E-1,-4.175088123E-1,4.446094502E-1
8.199480000E-1,7.995117232E-2,1.832119044E-1,-4.362523910E-1,4.798697120E-1
8.299590000E-1,-6.300887867E-2,2.592917083E-1,-2.217406701E-1,3.469455773E-1
8.399570000E-1,-6.137571023E-2,2.561030206E-1,2.914999628E-2,2.649631243E-1
8.499320000E-1,-6.645944397E-2,8.388645809E-2,2.874030747E-1,3.066827724E-1
8.599580000E-1,-3.915513501E-2,2.180050759E-2,4.169034793E-1,4.193052561E-1
8.699560000E-1,1.397860384E-2,1.537373328E-1,1.102410193E-1,1.896935719E-1
8.799500000E-1,-2.257835812E-1,2.073127203E-1,-5.739450098E-2,3.118507949E-1
8.899570000E-1,-2.430988496E-1,1.086345402E-2,-9.251429887E-2,2.603343250E-1
8.999550000E-1,-8.105050734E-1,-1.415971153E-1,9.618972159E-2,8.283843791E-1
9.099510000E-1,-6.893852636E-1,-3.591797938E-2,-1.171007626E-1,7.001819275E-1
9.199340000E-1,-3.862383050E-1,-1.555462786E-1,-4.063308363E-1,5.817898432E-1
9.299320000E-1,-3.122125548E-1,-1.795288529E-1,-3.699285202E-1,5.162890649E-1
9.399470000E-1,-1.909564502E-2,-1.561855437E-1,-3.682060401E-1,4.004176016E-1
9.499540000E-1,-5.658362007E-2,-1.865327209E-1,-2.266118576E-1,2.989131914E-1
9.599520000E-1,-9.744967779E-2,-1.531354899E-1,-1.794191445E-1,2.552217612E-1
9.699460000E-1,-2.993649430E-1,-1.394268116E-1,1.353797161E-1,3.569129759E-1
9.799510000E-1,-3.907521362E-1,4.058883118E-2,2.121527714E-1,4.464789845E-1
9.899490000E-1,-3.800675922E-1,2.688882774E-2,2.455621171E-1,4.532936543E-1
9.999480000E-1,-2.357545822E-1,-3.448674373E-3,4.393011292E-2,2.398373850E-1
1.009950000E0,-8.892757111E-2,3.209147466E-2,-1.655969480E-1,1.906838347E-1
1.019948000E0,-2.756256631E-2,2.399552265E-2,-2.500463467E-1,2.527027022E-1
1.029944000E0,-2.648734558E-2,1.990252195E-2,-3.308667442E-1,3.325214163E-1
1.039949000E0,-4.501446993E-2,7.886540605E-3,-2.801895840E-1,2.838920622E-1
1.049947000E0,-2.460526391E-2,8.818771789E-3,-2.805813109E-1,2.817961351E-1
1.059933000E0,-5.687020673E-2,3.180251257E-2,-1.997428967E-1,2.101019871E-1
1.069947000E0,-3.340532940E-1,1.424630982E-3,1.408259954E-1,3.625266801E-1
1.079945000E0,-3.274868343E-1,1.820389895E-2,1.442309205E-1,3.583037357E-1
1.089926000E0,-1.915588047E-1,4.391973583E-3,-4.061270426E-2,1.958659155E-1
1.099945000E0,1.544640344E-2,4.015741173E-2,-2.888715846E-1,2.920582159E-1
1.109943000E0,1.437991242E-2,3.980824159E-2,-2.888602373E-1,2.919447117E-1
1.119940000E0,8.750304320E-2,1.103518424E-1,-2.150486232E-1,2.570607360E-1
1.129944000E0,-9.633432141E-2,5.567026671E-3,-1.339529612E-2,9.742036350E-2
1.139942000E0,-6.779746050E-2,6.769870879E-3,-1.362482902E-2,6.948354314E-2
1.149924000E0,-4.739878723E-1,-5.701652416E-2,4.628920406E-2,4.796436985E-1
1.159942000E0,-2.883981794E-1,1.804202015E-2,7.783342045E-2,2.992608656E-1
1.169940000E0,-2.901564920E-1,1.808420576E-2,7.784166137E-2,3.009603837E-1
1.179930000E0,-1.379765102E-1,5.877070713E-3,-3.518460149E-2,1.425132047E-1
1.189940000E0,-9.590138077E-2,-4.005502321E-3,-6.744242487E-2,1.173098442E-1
1.199938000E0,-1.109439826E-1,-3.811033293E-3,-6.733998440E-2,1.298374551E-1
1.209916000E0,-4.201646908E-1,1.042863428E-1,4.513489459E-3,4.329369241E-1
1.219939000E0,-6.836242213E-1,1.623908465E-1,-5.442057055E-2,7.047513473E-1
1.229937000E0,-7.079408178E-1,1.623138095E-1,-5.419349302E-2,7.283288467E-1
1.239931000E0,-5.506081417E-1,7.413977087E-1,-2.076846032E-1,9.465583883E-1
1.249938000E0,-3.214457469E-1,9.050629558E-1,9.037310332E-2,9.646935369E-1
1.259936000E0,-3.303921330E-1,9.135845418E-1,9.064095148E-2,9.757107453E-1
1.269918000E0,-9.947688188E-1,1.672554559E-1,5.941499150E-3,1.008749073E0
1.279937000E0,-1.097425826E0,2.339779789E-1,2.357207004E-2,1.122338977E0
1.289935000E0,-1.155013518E0,2.223742525E-1,2.452253266E-2,1.176481147E0
1.299928000E0,-9.101197010E-1,2.114195122E-1,1.876580952E-2,9.345417251E-1
1.309918000E0,-6.088230573E-1,-1.640564259E-1,-5.566221857E-1,8.410756705E-1
1.319916000E0,-6.302177270E-1,-1.644316710E-1,-5.558937688E-1,8.562885262E-1
1.329921000E0,-4.904332029E-1,-3.443356958E-1,-6.077708143E-1,8.535087349E-1
1.339917000E0,-1.157033329E-1,-5.487370692E-1,-2.941247917E-2,5.615734380E-1
1.349915000E0,-8.992930879E-2,-5.491800324E-1,-3.016130878E-2,5.573111277E-1
