"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-7.082223892E-4,1.795753837E-3,7.974433899E-2,7.976769968E-2
1.000000000E-2,-4.697293043E-4,1.764237881E-3,7.974720001E-2,7.976809569E-2
2.000000000E-2,1.829376072E-2,-6.667971611E-4,7.016658783E-2,7.251521459E-2
3.000000000E-2,1.490652561E-3,-4.615545273E-3,6.054973602E-2,6.074368968E-2
4.000000000E-2,8.053623140E-3,1.037260890E-2,5.813598633E-2,5.960071113E-2
5.000000000E-2,-6.041623652E-3,1.767566800E-2,8.207893372E-2,8.417768003E-2
6.000000000E-2,-4.388839006E-3,1.284749806E-2,1.037282944E-1,1.046129971E-1
7.000000000E-2,-2.340290546E-1,-6.377777457E-2,3.908538818E-2,2.456926342E-1
8.000175000E-2,1.501475424E-1,2.229870856E-2,9.193801880E-2,1.774658169E-1
9.000175000E-2,2.409170568E-2,-2.327397466E-3,5.822658539E-2,6.305681809E-2
1.000017500E-1,2.663605660E-2,1.680409908E-2,7.259464264E-2,7.913178500E-2
1.100017500E-1,1.632187515E-2,-1.384598017E-2,6.777286530E-2,7.107232968E-2
1.200017500E-1,1.412235200E-2,1.961012185E-2,8.214092255E-2,8.562201155E-2
1.300017500E-1,1.433198154E-2,3.323704004E-4,9.172248840E-2,9.283604388E-2
1.400017500E-1,-9.676590562E-4,1.445139945E-2,1.060419083E-1,1.070264716E-1
1.500017500E-1,-7.954284549E-3,7.090762258E-3,7.971191406E-2,8.042100967E-2
1.600017500E-1,4.038952291E-3,1.187093556E-2,7.731723785E-2,7.832743782E-2
1.700017500E-1,-1.274057478E-2,-5.015254021E-3,5.337619781E-2,5.510438741E-2
1.800017500E-1,-8.065626025E-4,-1.233491302E-2,6.295585632E-2,6.415793379E-2
1.900025390E-1,1.608371735E-3,1.380868256E-2,6.056690216E-2,6.214190383E-2
2.000025390E-1,-3.043845296E-3,1.129230857E-2,7.493686676E-2,7.584401906E-2
2.100025390E-1,1.852462441E-2,6.425052881E-3,7.972812653E-2,8.210369768E-2
2.200025390E-1,3.543245420E-2,6.286978722E-3,7.973194122E-2,8.747666754E-2
2.300025390E-1,-8.737442493E-1,-1.382476538E-1,-4.237651825E-2,8.856281366E-1
2.400025390E-1,5.283786356E-2,5.616757274E-2,3.104782104E-2,8.313003816E-2
2.500025390E-1,4.514233768E-2,4.819507897E-2,3.104782104E-2,7.296960655E-2
2.600025390E-1,1.036487222E-1,3.094342351E-2,6.895351410E-2,1.282775903E-1
2.700025390E-1,4.880763590E-2,-1.192829013E-2,9.748077393E-2,1.096675463E-1
2.800025390E-1,7.205320150E-2,-5.099311471E-3,4.462909698E-2,8.490832186E-2
2.900025390E-1,6.586727500E-2,1.262874901E-2,6.597900391E-2,9.408088102E-2
3.000025390E-1,8.036630601E-2,-5.582168698E-3,4.192543030E-2,9.081654835E-2
3.100025390E-1,4.062385112E-2,1.912486553E-2,8.960914612E-2,1.002290219E-1
3.200025390E-1,3.363684565E-2,-4.989013076E-3,5.844879150E-2,6.762092032E-2
3.300030050E-1,3.126624972E-2,1.420266926E-2,5.844879150E-2,6.779052599E-2
3.400030050E-1,3.377771378E-2,3.349334002E-3,6.075763702E-2,6.959628182E-2
3.500030050E-1,2.624415606E-2,1.248793304E-2,7.504844666E-2,8.047964677E-2
3.600030050E-1,2.389142662E-2,-4.338636994E-3,7.983970642E-2,8.345060071E-2
3.700030050E-1,2.361056954E-2,1.676835120E-2,7.258892059E-2,7.815233834E-2
3.800025380E-1,1.651372015E-2,-2.263844013E-3,7.019329071E-2,7.214517312E-2
3.900025380E-1,3.002251685E-2,1.768186688E-2,7.975101471E-2,8.703001943E-2
4.000025380E-1,8.487850428E-3,1.522700489E-2,6.538581848E-2,6.766986435E-2
