"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.541296184E-3,-3.126718104E-3,5.384445190E-3
1.000000000E-2,-1.792542636E-3,-3.091171384E-3,5.389213562E-3
2.000000000E-2,-5.882196128E-3,-7.684547454E-3,-6.577491760E-3
3.000000000E-2,6.713256240E-3,6.939768791E-3,-6.574630737E-3
4.000000000E-2,7.355384529E-3,-1.676570252E-2,-8.964538574E-3
5.000000000E-2,7.415227592E-3,-4.778228700E-3,3.007888794E-3
6.000185700E-2,5.099333823E-3,-1.196544431E-2,3.007888794E-3
7.000185700E-2,9.889081120E-3,2.565607429E-5,-1.781463623E-3
8.000185700E-2,2.440981567E-3,-1.861952245E-3,-8.967399597E-3
9.000185700E-2,4.913553596E-3,-1.144366153E-2,6.093978882E-4
1.000018570E-1,2.327688038E-3,-1.442961395E-3,5.394935608E-3
1.100018570E-1,-5.070671439E-3,1.087500528E-2,6.036758423E-4
1.200018570E-1,-7.831774652E-3,-3.037437797E-3,5.388259888E-3
1.300018570E-1,4.380077124E-3,-2.619042993E-3,1.017761230E-2
1.400018570E-1,4.502251744E-3,-1.528970897E-4,-4.187583923E-3
1.500018570E-1,-1.447104663E-2,2.309840173E-3,2.996444702E-3
1.600018570E-1,1.683194190E-2,-7.257748395E-3,-4.184722900E-3
1.700018570E-1,1.934401318E-2,-1.444683969E-2,6.036758423E-4
1.800018570E-1,-9.265206754E-3,4.779018462E-3,5.393981934E-3
1.900018570E-1,1.006972045E-2,-9.518591687E-3,3.000259399E-3
2.000025230E-1,7.321760058E-4,-9.453738108E-3,1.497268677E-2
2.100025230E-1,-9.036250412E-3,-6.635222584E-3,-8.972167969E-3
2.200025230E-1,-1.611317694E-2,6.791353226E-4,-1.790046692E-3
2.300025230E-1,-8.805938065E-3,-1.604348421E-3,-4.182815552E-3
2.400025230E-1,-8.739359677E-3,1.528919116E-2,6.055831909E-4
2.500025230E-1,-3.358654678E-3,-1.579174772E-2,7.792472839E-3
2.600025230E-1,3.495110571E-2,-2.295441180E-2,-7.600784302E-2
2.700025230E-1,-8.188515902E-3,2.248004824E-2,3.173542023E-2
2.800025230E-1,4.009552300E-3,1.548047736E-2,-8.966445923E-3
2.900025230E-1,-1.746053994E-2,-6.072383374E-3,-6.571769714E-3
3.000025230E-1,-7.439926267E-3,-8.610295132E-3,-4.174232483E-3
3.100025230E-1,-9.715639055E-3,-6.203386933E-3,7.799148560E-3
3.200025230E-1,4.948385060E-3,-6.141711026E-3,1.258850098E-2
3.300025230E-1,7.647603750E-3,-8.357485756E-3,-8.957862854E-3
3.400025230E-1,1.739324629E-2,4.153706133E-3,1.498413086E-2
3.500025230E-1,7.680945098E-3,-2.419678867E-2,-4.172325134E-3
3.700020890E-1,2.124711871E-3,7.582126185E-3,-1.786231995E-3
3.800020890E-1,-5.241170526E-3,7.474781945E-3,1.257896423E-2
3.900020890E-1,6.609298289E-3,-2.370280027E-2,-2.333641052E-2
4.000020890E-1,-7.995881140E-3,1.751650125E-4,-2.333736420E-2
4.100020890E-1,-7.956996560E-4,2.529293299E-3,7.788658142E-3
4.200020890E-1,8.756749332E-3,3.120252863E-3,6.036758423E-4
4.300020890E-1,1.636110246E-3,1.035855524E-2,-1.791000366E-3
4.400020890E-1,1.076991856E-2,-4.197666422E-3,1.257324219E-2
4.500025550E-1,-1.496091485E-3,1.256002299E-2,2.693557739E-2
4.600025550E-1,8.278183639E-3,1.496318728E-2,5.389213562E-3
4.700025550E-1,-1.548717916E-2,-1.136438921E-2,-1.615810394E-2
4.800025550E-1,6.180040538E-3,-1.135125011E-2,1.736259460E-2
4.900025550E-1,-1.273468137E-2,-1.128660329E-2,-1.615619659E-2
5.100020880E-1,6.597049534E-3,-4.094140604E-3,-1.789093018E-3
5.200020880E-1,3.036551178E-2,8.260523900E-3,5.391120911E-3
5.300020880E-1,-6.016150117E-3,5.932981148E-3,-8.977890015E-3
5.400020880E-1,5.951806903E-3,3.479896113E-3,7.782936096E-3
5.500020880E-1,-5.959652364E-3,1.101942733E-3,5.388259888E-3
5.600025210E-1,-1.170970500E-3,-3.686245531E-3,-6.583213806E-3
5.700025210E-1,-3.979630768E-3,1.303907484E-2,-6.586074829E-3
5.800025210E-1,-1.834522933E-2,3.462122753E-3,5.970001221E-4
5.900025210E-1,8.101537824E-4,-8.489530534E-3,1.496219635E-2
6.000025210E-1,3.322042525E-3,-1.313146204E-3,5.979537964E-4
6.100025210E-1,-1.344442368E-3,5.941344425E-3,5.979537964E-4
6.200025210E-1,1.794476062E-2,3.500310704E-3,-8.977890015E-3
6.300025210E-1,-2.030500025E-2,1.067969017E-2,5.388259888E-3
6.400025210E-1,8.486300707E-3,-1.564103365E-2,7.783889771E-3
6.500025210E-1,-8.213847876E-3,-2.041344903E-2,5.389213562E-3
6.600025210E-1,6.410539150E-3,-8.044557646E-3,7.783889771E-3
6.700025210E-1,1.119921356E-2,-1.283298619E-2,6.008148193E-4
6.800025210E-1,1.351798326E-2,-2.524470910E-3,1.257038116E-2
6.900025210E-1,-3.591328859E-3,2.677142620E-3,-1.799583435E-3
7.000029870E-1,8.384622633E-3,1.951553486E-2,1.974964142E-2
7.100029870E-1,-1.073740423E-3,9.951576591E-3,1.496124268E-2
7.200029870E-1,-1.008160412E-3,4.887059331E-4,-4.192352295E-3
7.300029870E-1,8.298665285E-3,1.459531486E-2,1.974964142E-2
7.400029870E-1,1.320602000E-2,7.425611839E-3,5.960464478E-4
7.600025200E-1,3.815583885E-3,-7.108224556E-3,5.970001221E-4
7.700025200E-1,-1.521760225E-2,-4.661640152E-3,-4.190444946E-3
7.800025200E-1,1.604200155E-2,1.409203000E-2,-6.582260132E-3
7.900025200E-1,8.935369551E-3,-5.105495453E-3,6.008148193E-4
8.000025200E-1,-2.973824739E-3,-1.223282702E-2,-1.793861389E-3
8.100029530E-1,8.655346930E-3,9.512398392E-3,5.979537964E-4
8.200029530E-1,8.836075664E-3,-7.179468870E-3,2.993583679E-3
8.300029530E-1,6.618075073E-3,9.570410475E-3,-8.975982666E-3
8.400029530E-1,9.196467698E-3,7.302930579E-3,6.017684937E-4
8.500029530E-1,1.515187323E-3,-2.634512633E-2,3.890609741E-2
8.700025190E-1,6.487928331E-3,7.301665843E-3,1.017570496E-2
8.800025190E-1,-1.054950058E-2,1.683595031E-2,7.780075073E-3
8.900025190E-1,-8.313670754E-3,2.126075886E-2,-1.137447357E-2
9.000025190E-1,5.860202014E-3,1.108565181E-2,-2.813339233E-2
9.100025190E-1,-3.937311471E-3,7.550343871E-4,5.979537964E-4
9.200025190E-1,5.585707724E-3,1.999131031E-2,2.992630005E-3
9.300025190E-1,-6.471276283E-3,7.219335064E-3,-2.094841003E-2
9.400025190E-1,-6.432533264E-3,-3.047466278E-3,-4.186630249E-3
9.500029850E-1,-3.927178681E-3,-3.505595028E-3,-4.183769226E-3
9.600029850E-1,1.522704959E-2,1.283027232E-3,-6.578445435E-3
9.700029850E-1,-4.097074270E-3,-1.124832779E-2,2.454853058E-2
9.800029850E-1,-6.494693458E-3,-1.729827374E-3,5.393981934E-3
9.900029850E-1,-6.493337452E-3,6.843619049E-4,6.055831909E-4
1.010002518E0,7.058680058E-4,-4.163559526E-3,-1.789093018E-3
1.020002518E0,-8.463717997E-3,-8.700480685E-3,-1.787185669E-3
1.030002518E0,1.315408200E-2,-1.604432613E-2,-4.179954529E-3
1.040002518E0,1.179367304E-3,-8.920101449E-3,-1.786231995E-3
1.050002518E0,1.152373850E-3,5.997341126E-3,-1.136493683E-2
1.060002951E0,1.310247928E-2,-5.324363708E-3,-1.136684418E-2
1.070002951E0,2.507051453E-2,1.616550982E-2,6.046295166E-4
1.080002951E0,7.841683924E-3,4.240591079E-3,-4.187583923E-3
1.090002951E0,-8.859194815E-3,-5.505643785E-4,2.995491028E-3
1.100002951E0,-2.304711193E-2,-5.328953266E-3,-6.580352783E-3
1.120002517E0,-4.069276154E-3,-5.305819213E-4,-1.137065887E-2
1.130002517E0,-1.736037433E-3,1.379923150E-2,-4.187583923E-3
1.140002983E0,-1.837833971E-2,1.139852405E-2,1.496696472E-2
1.150002983E0,-1.762942970E-2,8.705507964E-3,1.018524170E-2
1.160002983E0,-1.446788013E-2,-1.076811925E-2,5.403518677E-3
1.170002983E0,1.023395360E-2,3.475014120E-3,-1.613903046E-2
1.180002983E0,8.433073759E-3,-1.834357716E-2,-4.161834717E-3
1.190002983E0,2.312782034E-2,1.066572964E-3,-8.949279785E-3
1.200003449E0,6.424427032E-3,1.060126349E-2,-1.852703094E-2
1.210003449E0,3.390051425E-3,5.614105612E-3,-1.770019531E-3
1.220003449E0,5.666904151E-3,-1.113888249E-2,-1.613616943E-2
1.230003449E0,8.003547788E-3,-3.933157772E-3,-1.771926880E-3
1.240003449E0,-4.294991493E-3,-1.421600580E-3,6.198883057E-4
1.260003215E0,-6.569355726E-3,1.776516810E-2,6.208419800E-4
1.270003215E0,-8.901439607E-3,3.455013037E-3,5.409240723E-3
1.280003215E0,3.188520670E-3,-6.109368056E-3,-4.166603088E-3
1.290003215E0,5.818948150E-3,8.262436837E-3,-4.164695740E-3
1.300003215E0,1.804605871E-2,3.478910774E-3,1.020240784E-2
1.310003648E0,-1.364886761E-3,1.060333103E-3,7.806777954E-3
1.320003648E0,3.663279116E-3,1.549110189E-2,-6.557464600E-3
1.330004114E0,1.035675406E-3,-3.963571042E-3,6.246566772E-4
1.340004114E0,3.235846758E-3,-3.299763054E-2,1.020145416E-2
1.350004114E0,2.231594548E-2,3.333486617E-3,5.410194397E-3
1.370003680E0,-8.785769343E-3,6.139244884E-3,1.019763947E-2
1.380003680E0,-1.543104649E-3,-3.421738744E-3,-8.955001831E-3
1.390004180E0,1.301162690E-2,-8.338930085E-3,3.018379211E-3
1.400004180E0,8.283086121E-3,-1.071664318E-2,5.412101746E-3
1.410004180E0,1.531226933E-2,-1.031493023E-2,5.410194397E-3
1.420004180E0,-1.944534481E-3,-1.589320600E-4,-6.567001343E-3
1.430004180E0,-2.378477156E-2,9.808434173E-3,1.737213135E-2
1.450004179E0,-1.885368675E-2,5.444390699E-3,1.258373260E-2
1.460004179E0,1.706524938E-2,-4.053821787E-3,3.006935120E-3
1.470004179E0,2.939373255E-3,-1.835390180E-2,5.401611328E-3
1.480004179E0,2.228287980E-2,-1.369356550E-2,6.151199341E-4
1.490004179E0,2.834729850E-3,-1.370877028E-3,-8.965492249E-3
1.510003712E0,4.863776267E-3,-5.685545504E-3,5.395889282E-3
1.520003712E0,7.216773927E-3,1.822066680E-2,1.018524170E-2
1.530003712E0,2.139848098E-2,2.288265899E-2,-1.615333557E-2
1.540003712E0,5.912939087E-2,5.113684386E-2,5.392074585E-3
1.560003911E0,2.671620846E-1,2.650872171E-1,5.369186401E-3
1.570003911E0,2.504996061E-1,2.708808780E-1,-9.016990662E-3
1.580003911E0,1.693946719E-1,4.654758871E-1,1.012611389E-2
1.590003911E0,2.653220892E-1,7.121927738E-1,2.943992615E-3
1.600003911E0,4.117561281E-1,1.150506973E0,3.646564484E-2
1.620003477E0,2.633563280E-1,7.037735581E-1,2.191320419E0
1.640003010E0,9.256038815E-2,9.153214097E-1,1.626789093E0
1.650003010E0,5.872580409E-1,4.395868778E-1,9.553709030E-1
1.660003010E0,3.085538447E-1,2.306735516E-1,8.453760147E-1
1.670003010E0,-1.666682065E-1,2.320298851E-1,8.471651077E-1
1.680003010E0,-4.269164205E-1,7.107202709E-2,1.149913788E0
1.700002576E0,-3.833598495E-1,-5.516789854E-2,1.500236511E0
1.710002576E0,-1.819540858E-1,-8.589991927E-2,1.150037766E0
1.720002576E0,-2.553472519E-1,-6.530432403E-2,4.865798950E-1
1.730002576E0,-3.466917872E-1,-6.834170222E-2,3.118457794E-1
1.740002576E0,-3.630256057E-1,-1.879951358E-2,-3.004837036E-1
