"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.807336771E-2,-1.349818541E-2,-7.919550193E-2,9.362252516E-2
1.001400000E-2,-4.858905444E-3,2.213340602E-2,-5.975406263E-2,6.390653038E-2
2.001200005E-2,-4.632084012E-3,2.233417109E-2,-5.975586247E-2,6.396119527E-2
3.002300003E-2,-3.945427948E-2,1.185063990E-2,-6.242217910E-2,7.479041569E-2
4.001900001E-2,-1.994250914E-2,3.613461644E-3,-4.211752632E-2,4.674020538E-2
5.001700000E-2,-1.991677454E-2,3.977787433E-3,-4.211299930E-2,4.675473677E-2
6.002000003E-2,-1.454710167E-2,6.379854743E-3,-4.499472187E-2,4.771630445E-2
7.000900002E-2,-3.726003414E-2,1.505307312E-2,-7.353450410E-3,4.085313192E-2
8.000700001E-2,-3.781255491E-2,1.552206207E-2,-7.336547161E-3,4.152768527E-2
9.001700004E-2,-3.931143325E-3,3.130676005E-2,-6.679272156E-2,7.387039167E-2
1.000060000E-1,-8.746947824E-4,-1.848087025E-4,-4.013631607E-2,4.014627147E-2
1.100040000E-1,-9.022382231E-4,1.262113594E-4,-4.013157891E-2,4.014191810E-2
1.200140000E-1,-1.322583193E-2,9.574738544E-3,-3.506980192E-2,3.868448339E-2
1.300090000E-1,-1.169846725E-2,1.663280692E-2,-3.734445560E-2,4.252190925E-2
1.400070000E-1,-1.141373526E-2,1.673180531E-2,-3.734848470E-2,4.248689175E-2
1.500120000E-1,-4.745373815E-3,4.102607500E-3,-5.052900185E-2,5.091689297E-2
1.599980000E-1,-2.771923811E-5,1.317097431E-2,-4.095642004E-2,4.302213007E-2
1.699960000E-1,2.026493304E-4,1.342561713E-2,-4.095733824E-2,4.310210920E-2
1.800090000E-1,-1.784155202E-2,1.125271984E-2,-3.259387611E-2,3.882403176E-2
1.899970000E-1,-2.953193367E-2,9.177514030E-4,8.126876585E-3,3.064349029E-2
1.999950000E-1,-3.008171584E-2,1.648979624E-3,8.146990094E-3,3.120900846E-2
2.100060000E-1,-7.578592767E-3,5.483302423E-3,-2.805929870E-2,2.957745624E-2
2.199870000E-1,3.691249940E-2,1.299304537E-2,-1.130774580E-1,1.196572745E-1
2.299850000E-1,-3.482632021E-2,2.112971593E-1,1.596727158E-2,2.147424407E-1
2.400040000E-1,-6.854679489E-2,7.827047058E-1,-5.949316717E-2,7.879497170E-1
2.500040000E-1,1.510641229E-1,8.554676767E-1,-1.177552579E-1,8.766479429E-1
2.600020000E-1,1.909544585E-1,2.772781274E-1,-3.333441684E-2,3.383163438E-1
2.700010000E-1,-3.720073516E-1,-4.315671359E-2,1.606963897E-2,3.748469085E-1
2.800010000E-1,1.322182271E-1,7.090389980E-1,-2.208874335E-2,7.215995238E-1
2.899990000E-1,2.030570802E-1,9.977580616E-1,-1.020153117E-1,1.023308581E0
2.999990000E-1,5.404114016E-1,1.599321216E0,-8.897953824E-2,1.690499983E0
3.099980000E-1,2.478157253E-1,2.307289662E0,1.171800472E-1,2.323516598E0
3.199960000E-1,-5.312777218E-1,1.379744381E0,-4.531508991E-2,1.479190330E0
3.299950000E-1,-4.527086120E-1,-1.348398627E-1,-1.175696819E-1,4.867745947E-1
3.399950000E-1,-1.544791321E-2,-9.668095531E-1,7.514021119E-2,9.698481332E-1
